Rank,Player,From,To,Fee,Year
1,Ezequiel Barco,Independiente,Atlanta United,$ 15.0m,2018
2,Pity Martínez,River Plate,Atlanta United,$ 14.0m,2019
3,Jermain Defoe,Tottenham Hotspur,Toronto FC,$ 11.0m,2014
4,Michael Bradley,Roma,Toronto FC,$ 10.8m,2014
5,Clint Dempsey,Tottenham Hotspur,Seattle Sounders FC,$ 9.3m,2013
6,Giovani Dos Santos,Villarreal,Los Angeles Galaxy,$ 8.9m,2015
7,Miguel Almirón,Lanús,Atlanta United,$ 8.2m,2017
8,Lucas Melano,Lanús,Portland Timbers,$ 6.4m,2015
9,Nicolás Lodeiro,Boca Juniors,Seattle Sounders FC,$ 6.4m,2016
10,Kaku,Huracán,New York Red Bulls,$ 6.2m,2018
