Event,Place,Gender,Sport,Athlete
1980 European Taekwondo Championships,Gold,Man,Taekwondo,Michael Arndt
1980 European Taekwondo Championships,Gold,Men,Taekwondo,Reinhard Langer
1982 European Taekwondo Championships,Gold,Men,Taekwondo,Reinhard Langer
1982 European Taekwondo Championships,Silver,Men,Taekwondo,Athanassios Karamangiolis
1984 European Taekwondo Championships,Gold,Men,Taekwondo,Reinhard Langer
1986 European Taekwondo Championships,Gold,Men,Taekwondo,Michael Arndt
1987 World Taekwondo Championships,Gold,Men,Taekwondo,Michael Arndt
1988 Summer Olympics ( Demonstration Sport ),Bronze,Men,Taekwondo,Michael Arndt
2000 Summer Olympics,Silver,Men,Taekwondo,Faissal Ebnoutalib
2003 World Taekwondo Championships,Silver,Men,Taekwondo,Faissal Ebnoutalib
2004 European Taekwondo Championships,Bronze,Men,Taekwondo,Faissal Ebnoutalib
2005 European Taekwondo Championships,Silver,Men,Taekwondo,Faissal Ebnoutalib
