Title,Director,Cast,Country,Subgenre/notes
22 Jump Street,"Phil Lord , Christopher Miller","Jonah Hill , Channing Tatum , Ice Cube",United States,
300 : Rise of an Empire,Noam Murro,"Sullivan Stapleton , Eva Green , Lena Headey , Hans Matheson , David Wenham , Rodrigo Santoro",United States,Period action film
Army of Frankensteins,Ryan Bellgardt,"Jordan Farris , Christian Bellgardt , Rest Terrell",United States,Science fiction action
Black & White : The Dawn of Justice,Tsai Yueh-Hsun,"Mark Chao , Lin Gengxin , Huang Bo",China Taiwan,
Black Butler,"Kentarō Ōtani , Keiichi Satō","Hiro Mizushima , Ayame Goriki , Yūka",Japan,Science fiction action
Brick Mansions,Camille Delamarre,"Paul Walker , David Belle , RZA",Canada France,
Brotherhood of Blades,Lu Yang,"Chang Chen , Cecilia Lu , Wang Qianyuan",China,Martial arts film
Captain America : The Winter Soldier,Josphe and Anthony Russo,"Chris Evans , Sebastian Stan , Anthony Mackie",United States,
Dracula Untold,Gary Shore,"Luke Evans , Dominic Cooper , Sarah Gadon , Charles Dance",United States,Action horror
Edge of Tomorrow,Doug Liman,"Tom Cruise , Emily Blunt , Bill Paxton",United States,Science fiction action
Everly,Joe Lynch,"Salma Hayek , Akie Kotabe , Laura Cepeda",United States,
Falcon Rising,Ernie Barbarash,"Michael Jai White , Neal McDonough , Laila Ali",United States,
Godzilla,Gareth Edwards,"Aaron Taylor-Johnson , Ken Watanabe , Elizabeth Olsen , Bryan Cranston",United States,Monster film
Guardians of the Galaxy,James Gunn,"Chris Pratt , Zoe Saldana , Lee Pace",United States,
Gun Woman,Kurando Mitsutake,,Japan,
Hercules,Brett Ratner,"Dwayne Johnson , Ian McShane , Rufus Sewell",United States,Sword and sandal
High Kick Angels,Yokoyama Kazuhiro,"Miyahara Kanon , Ito Risako , Kawamoto Mayu",Japan,
"I , Frankenstein",Stuart Beattie,"Aaron Eckhart , Bill Nighy , Yvonne Strahowski",United States,Action horror
In the Blood,John Stockwell,"Gina Carano , Amaury Nolasco , Stephen Lang , Danny Trejo",United States,
Jack Ryan : Shadow Recruit,Kenneth Branagh,"Chris Pine , Keira Knightley , Kevin Costner",United States,Action thriller
