Elector,Place of birth,Cardinalatial title,Elevated,Elevator,Notes
Gerardo Bianchi,Parma,Bishop of Sabina,12 March 1278,Nicholas III,
Giovanni Boccamazza,Rome,Bishop of Frascati,22 December 1285,Honorius IV,Nephew of Honorius IV ; former archbishop of Monreale ( 1278 - 1286 )
"Hugh Aycelin , O.P","Billom , France",Bishop of Ostia e Velletri,16 May 1288,Nicholas IV,
"Matteo d'Acquasparta , O.F.M",Acquasparta,Bishop of Porto e Santa Rufina,16 May 1288,Nicholas IV,Former minister general of the Order of Franciscans ( 1287 - 1289 )
Simon de Beaulieu,"Château de Beaulieu , France",Bishop of Palestrina,18 September 1294,Celestine V,Former archbishop of Bourges ( 1281 - 1294 )
Bérard de Got,"Villandraut , France",Bishop of Albano,18 September 1294,Celestine V,Former archbishop of Lyon ( 1289-1294 ) ; older brother of Bertrand de Got - future Pope Clement V ( 1305-1314 )
Benedetto Caetani,Anagni,Priest of SS . Silvestro e Martino,12 April 1281,Nicholas III,Elected Pope Boniface VIII
Pietro Peregrosso,Milan,Priest of S. Marco,16 May 1288,Nicholas IV,
"Tommaso d'Ocra , O.Cel","Ocre , Abruzzi",Priest of S. Cecilia,18 September 1294,Celestine V,
Jean Lemoine,"Crécy , France",Priest of SS . Marcellino e Pietro,18 September 1294,Celestine V,
"Pietro d'Aquila , O.S.B.Cas",L'Aquila,Priest of S. Croce in Gerusalemme,18 September 1294,Celestine V,
Guillaume de Ferrières,Provence,Priest of S. Clemente,18 September 1294,Celestine V,Crown-cardinal of King Charles II of Naples
Nicolas de Nonancourt,"Nonancourt , France",Priest of S. Marcello,18 September 1294,Celestine V,
"Robert de Pontigny , O.Cist",France,Priest of S. Pudenziana,18 September 1294,Celestine V,Crown-cardinal of kings Philip IV of France and Charles II of Naples ; former Abbot General of his order
"Simon de Armentières , O.S.B.Clun",France,Priest of S. Balbina,18 September 1294,Celestine V,
"Giovanni Castrocoeli , O.S.B.Cas",Castrocielo,Priest of S. Vitale,18 September 1294 ( or October 1294 ),Celestine V,
Matteo Rosso Orsini,Rome,Deacon of S. Maria in Portico,22 May 1262,Urban IV,"Relative of Cardinal Napoleone Orsini Frangipani and nephew of Pope Nicholas III ( 1277-1280 ) ; not to be confused with his grandfather , Senator Matteo Rosso Orsini ( 1178-1246 )"
Giacomo Colonna,Rome,Deacon of S. Maria in Via Lata,12 March 1278,Nicholas III,Uncle of Cardinal Pietro Colonna
Napoleone Orsini Frangipani,Rome,Deacon of S. Adriano,16 May 1288,Nicholas IV,Relative of Cardinal Matteo Orsini Rosso and nephew of Pope Nicholas III ( 1277-1280 )
Pietro Colonna,Rome,Deacon of S. Eustachio,16 May 1288,Nicholas IV,Nephew of Cardinal Giacomo Colonna
