Church,Dates,"City , State"
First Methodist Episcopal Church,1911 built 1999 NRHP-listed,"Eau Claire , Wisconsin"
Court Street Methodist Church,built NRHP-listed,"Janesville , Wisconsin"
Linden Methodist Church,built NRHP-listed,"Linden , Wisconsin"
Highland Avenue Methodist Church,built NRHP-listed,"Milwaukee , Wisconsin"
"First Methodist Church ( Monroe , Wisconsin )",built NRHP-listed,"Monroe , Wisconsin"
Old Plover Methodist Church,built NRHP-listed,"Plover , Wisconsin"
Algoma Boulevard Methodist Church,built NRHP-listed,"Oshkosh , Wisconsin"
"First Methodist Church ( Oshkosh , Wisconsin )",built NRHP-listed,"Oshkosh , Wisconsin"
Plum Grove Primitive Methodist Church,built NRHP-listed,"Ridgeway , Wisconsin"
"First Methodist Church ( Waukesha , Wisconsin )",built NRHP-listed,"Waukesha , Wisconsin"
