Year,Title,Role,Notes
2008-2009,Terminator : The Sarah Connor Chronicles,Savannah Weaver / Kid in Future Underground Camp,"6 episodes , 1 episode ( uncredited as Kid in Future Underground Camp )"
2009,Pushing Daisies,Young Lily Charles,Kerplunk
2009-11,The Fresh Beat Band,Young Marina,"Doggone It ! , Band in a Jam , Parts 1 & 2"
2009-10,Desperate Housewives,Rachel Miller,"Everybody Ought to Have a Maid , How About a Friendly Shrink ?"
2010-16,The Middle,Megan,Recurring role
2011,Desperate Housewives,Young Bree Van de Kamp,Women and Death
2012,Victorious,Rhoda Hellberg,Robbie Sells Rex
2013,Deadtime Stories,Anna,Grave Secrets
2015-16,100 Things to Do Before High School,Martha St. Reynolds,Recurring role
2010,100 Questions,Tasha,Are You Romantic ?
2010,Criminal Minds,Kiara,Reflection of Desire
2011,Mad Love,Young Connie,The Kate Gatsby
