Rank,Country,Airport,City,Passengers
1,Brazil,São Paulo-Guarulhos International Airport,São Paulo,"19,678,222"
2,Brazil,Congonhas-São Paulo Airport,São Paulo,"13,672,301"
3,Colombia,El Dorado International Airport,Bogotá,"13,548,420"
4,Brazil,Rio de Janeiro-Galeão International Airport,Rio de Janeiro,"10,754,689"
5,Brazil,Brasília International Airport,Brasília,"10,443,393"
6,Chile,Comodoro Arturo Merino Benítez International Airport,Santiago,"9,017,718"
7,Venezuela,Simón Bolívar International Airport,Maiquetía,"8,975,897"
8,Peru,Jorge Chávez International Airport,Lima,"8,285,688"
9,Argentina,Ministro Pistarini International Airport,Buenos Aires,"8,012,794"
10,Ecuador,Mariscal Sucre International Airport,Quito,"4,274,922"
