Medal,Name,Games,Sport,Event
Gold,Nora Haveneers Dominique De Nolf,1985 London,Bowling,Mixed ten-pin bowling
Silver,Korfball team,1985 London,Korfball,Mixed event
Silver,Korfball team,1989 Karlsruhe,Korfball,Mixed event
Silver,Korfball team,1993 The Hague,Korfball,Mixed event
Gold,Gery Verbruggen,1997 Lahti,Bowling,Men 's ten-pin bowling
Silver,Korfball team,1997 Lahti,Korfball,Mixed event
Silver,Korfball team,2001 Akita,Korfball,Mixed event
Silver,Petra Comoth,2005 Duisburg,Bowling,Women 's nine-pin bowling
Silver,Gery Verbruggen,2005 Duisburg,Bowling,Men 's ten-pin bowling
Silver,Korfball team,2005 Duisburg,Korfball,Mixed event
Silver,Korfball team,2009 Kaohsiung,Korfball,Mixed event
Gold,Bart Swings,2013 Cali,Inline road skating,"Men 's 20,000 metres ( elimination )"
Gold,Bart Swings,2013 Cali,Inline speed skating,"Men 's 10,000 metres ( point elimination )"
Silver,Eddy Merckx,2013 Cali,Billiard sports,Men 's carom three cushion
Silver,Bart Swings,2013 Cali,Inline speed skating,"Men 's 1,000 metres ( sprint )"
Silver,Korfball team,2013 Cali,Korfball,Mixed event
Bronze,Bart Swings,2013 Cali,Inline road skating,"Men 's 10,000 metres ( point race )"
