Series No,Title,Sub-title,First published
01,Sharpe 's Tiger,"Richard Sharpe and the Siege of Seringapatam , 1799",1997
02,Sharpe 's Triumph,"Richard Sharpe and the Battle of Assaye , September 1803",1998
03,Sharpe 's Fortress,"Richard Sharpe and the Siege of Gawilghur , December 1803",1999
04,Sharpe 's Trafalgar,"Richard Sharpe and the Battle of Trafalgar , October 1805",2000
05,Sharpe 's Prey,"Richard Sharpe and the Siege of Copenhagen , 1807",2001
06,Sharpe 's Rifles,"Richard Sharpe and the French Invasion of Galicia , January 1809",1988
07,Sharpe 's Havoc,"Richard Sharpe and the Campaign in Northern Portugal , Spring 1809",2003
08,Sharpe 's Eagle,"Richard Sharpe and the Talavera Campaign , July 1809",1981
09,Sharpe 's Gold,"Richard Sharpe and the Destruction of Almeida , August 1810",1981
10,Sharpe 's Escape,"Richard Sharpe and the Battle of Bussaco , September 1810",2004
11,Sharpe 's Fury,"Richard Sharpe and the Battle of Barrosa March 1811 , Winter 1811",2007
12,Sharpe 's Battle,"Richard Sharpe and the Battle of Fuentes de Oñoro , May 1811",1995
13,Sharpe 's Company,"Richard Sharpe and the Siege of Badajoz , January to April 1812",1982
14,Sharpe 's Sword,"Richard Sharpe and the Salamanca Campaign , June and July 1812",1983
15,Sharpe 's Skirmish,"Richard Sharpe and the Defence of the Tormes , August 1812 ( short story )",1999
16,Sharpe 's Enemy,"Richard Sharpe and the Defence of Portugal , Christmas 1812",1984
17,Sharpe 's Honour,"Richard Sharpe and the Vitoria Campaign , February to June 1813",1985
18,Sharpe 's Regiment,"Richard Sharpe and the Invasion of France , June to November 1813",1986
19,Sharpe 's Christmas,"December 1813 , Franco-Spanish border ( short story )",1994
20,Sharpe 's Siege,"Richard Sharpe and the Winter Campaign , 1814",1987
