Year,Winner,Jockey,Trainer,Owner,Time
2018,Divine Queen,Calvin Borel,William Bradley,William B. Bradley & Carl Hurst,1:25.04
2017,Pinch Hit,Jon Court,Brad Cox,Klein Racing,1:23.27
2016,Mines And Magic,Robby Albarado,Victoria Oliver,G. Watts Humphrey Jr,1:23.29
2015,Super Majesty,Alex Solis,Jerry Hollendorfer,LNJ Foxwoods,1:23.02
2014,Thank You Marylou,Miguel Mena,Michael J . Maker,Ken and Sarah Ramsey,1:23.19
2013,Sky Girl,Corey J. Lanerie,William I. Mott,Alpha Delta Stables,1:23.73
2011,Salty Strike,Manoel Cruz,Ken McPeek |,Craig B . Singer,1:35.39
2010,Ailalea,Calvin Borel,Todd Pletcher,Starlight Partners,1:35.89
2009,Hightap,Shaun Bridgmohan,Steve Asmussen,Winchell/ Gainesway,1:35.78
2008,Acoma,Robby Albarado,David M. Carroll,Alexander & Groves,1:34.56
2007,Lady Joanne,Calvin Borel,Carl Nafzger,Bentley L. Smith Trust,1:35.35
2006,Joint Effort,Rene Douglas,Dale L. Romans,Donald R. Dizney,1:35.49
2005,Miss Matched,Shaun Bridgmohan,John T. Ward,John C. Oxley,1:43.49
2004,Stellar Jayne,Robby Albarado,D. Wayne Lukas,Spendthrift Farm /Chuck Kidder,1:43.14
2003,Golden Marlin,Shane Sellers,Greg Foley,J. Famularo & W. Glass,1:45.96
2002,Take Charge Lady,Tony D'Amico,Kenneth McPeek,Select Stable ( Jerry & Faye Bach ),1:42.73
2001,Nasty Storm,Lonnie Meche,Dallas Stewart,Stewart / Crum /Reilly McDonald,1:43.11
2000,Welcome Surprise,Francisco Torres,Neil J. Howard,W. S. Farish /Mrs . W. S. Kilroy,1:46.80
1999,Golden Temper,Shane Sellers,W. Elliott Walden,Mark Stanley,1:43.73
