Margin,Winning team,Score,Opponent,WC
48,Hungary,57-9,Australia,2005
45,Sweden,66-21,Australia,2009
41,Austria,52-11,Thailand,2009
40,Russia,48-8,Australia,2009
39,Angola,47-8,Australia,2005
39,France,46-7,Australia,2019
38,Netherlands,53-15,Australia,2011
38,South Korea,50-12,Paraguay,2007
38,Yugoslavia,41-3,Tunisia,1975
37,Norway,48-11,Uruguay,2001
37,Norway,47-10,Australia,2005
37,Russia,45-8,Australia,2011
37,Russia,45-8,Thailand,2009
37,Denmark,42-5,Argentina,1999
35,Austria,45-10,Australia,2009
35,Croatia,44-9,Uruguay,2005
34,Romania,51-17,Chile,2009
34,Hungary,48-14,Chile,2009
34,South Korea,45-11,Australia,2011
34,China,45-11,Australia,2011
