Name,Chartered,Institution,Location
Gamma Alpha,1940,Xavier University of Louisiana,"New Orleans , Louisiana"
Gamma Beta,1941,Washburn University,"Topeka , Kansas"
Gamma Gamma,1942,Philander Smith College,"Little Rock , Arkansas"
Gamma Delta,1941,,"Galveston , Texas"
Gamma Epsilon,1942,Texas College,"Tyler , Texas"
Gamma Zeta,1942,Morris Brown College,"Atlanta , Georgia"
Gamma Eta,1942,"East St. Louis , Illinois City-Wide","East St. Louis , Illinois"
Gamma Theta,1943,"Dayton , Ohio City-Wide","Dayton , Ohio"
Gamma Iota,"February 8 , 1947",Hampton University,"Hampton , Virginia"
Gamma Kappa,1943,"Buffalo , New York City-Wide","Buffalo , New York"
Gamma Lambda,1943,Johnson C. Smith University,"Charlotte , North Carolina"
Gamma Mu,1947,,"Knoxville , Tennessee"
Gamma Nu,"November 8 , 1947",Indiana University,"Bloomington , Indiana"
Gamma Xi,1947,University of Nebraska,"Omaha , Nebraska"
Gamma Omicron,1948,Mixed chapter Alumni and Northwestern University,"Evanston , Illinois"
Gamma Pi,1948,Allen University / Columbia College,"Columbia , South Carolina"
Gamma Rho,1948,St Augustine 's College,"Raleigh , North Carolina"
Gamma Sigma,,Cincinnati Alumnae Chapter,"Cincinnati , Ohio"
Gamma Tau,1948,Tuskegee University,"Tuskegee , Alabama"
Gamma Upsilon,1948,Benedict College,"Columbia , South Carolina"
