Site,Municipality,Type,Ref
* Kenroku-en 兼六園 Kenroku-en,Kanazawa,1,[ 1 ]
Former Matsunami Castle Gardens 旧 松波城 庭園 kyū-Matsunami-jō teien,Noto,1,[ 2 ]
Tokikuni Family Gardens 時国氏庭園 Tokikuni-shi teien,Wajima,1,[ 3 ]
Upper Tokikuni Family Gardens 上時国氏庭園 Kami-Tokikuni-shi teien,Wajima,1,[ 4 ]
Seisonkaku Gardens 成巽閣庭園 Seisonkaku teien,Kanazawa,1,[ 5 ]
Sosogi Coast 曽々木海岸 Sosogi-kaigan,Wajima,8,[ 6 ]
Nate-dera Kuritei Gardens 那谷寺 庫裡庭園 Natedera Kuritei-en,Komatsu,1,[ 7 ]
Shiroyone Senmaida 白米の千枚田 Shiroyone no Senmaida,Wajima,"3 , 4 , 11",[ 8 ]
Sue Water Purification Facility 末浄水場園地 Sue jōsuijō enchi,Kanazawa,1,[ 9 ]
Landscape of Oku no Hosomichi - Nata-dera Precinct おくのほそ道の風景地 那谷寺 境内 Oku no Hosomichi no fūkei-chi Nata-dera keidai,Komatsu,,[ 10 ]
