Year,Film Name,Role,Language
1994,Teesra Kaun,Gangster ( Special Appearances ),Hindi
2002,Lal Salaam,,Hindi
2003,Waisa Bhi Hota Hai Part II,Ganpat,Hindi
2004,Garv : Pride & Honour,Munna Trivedi,Hindi
2005,Sarkar,Commissioner,Hindi
2006,Kachchi Sadak,Paswan,Hindi
2007,Risk,Home Minister Sarang,Hindi
2007,Dahek : A Restless Mind,Iqbal Khan,Hindi
2011,Lady Dabangg Aaj Bbhi,,
2011,Singham,Minister Anant Narvekar,Hindi
2012,Shanghai,Jaggu,Hindi
2012,No Entry,Minister Kawle,Marathi
2012,Aakhari Decision,,Hindi
2012,Rowdy Rathore,Minister,Hindi
2013,Gandh Phulancha Gela Sangun,Thorle Bhau Sarkar,Marathi
