Season,Player,School,Class
2003-04,Jameer Nelson *,Saint Joseph 's,Senior
2004-05,Raymond Felton,North Carolina,Junior
2005-06,Dee Brown,Illinois,Senior
2006-07,Acie Law,Texas A & M,Senior
2007-08,D. J. Augustin,Texas,Sophomore
2008-09,Ty Lawson,North Carolina,Junior
2009-10,Greivis Vásquez,Maryland,Senior
2010-11,Kemba Walker,Connecticut,Junior
2011-12,Kendall Marshall,North Carolina,Sophomore
2012-13,Trey Burke *,Michigan,Sophomore
2013-14,Shabazz Napier,Connecticut,Senior
2014-15,Delon Wright,Utah,Senior
2015-16,Tyler Ulis,Kentucky,Sophomore
2016-17,Frank Mason III *,Kansas,Senior
2017-18,Jalen Brunson *,Villanova,Junior
2018-19,Ja Morant,Murray State,Sophomore
