Site,Date ( s ),Location,Description
Dawson Post Office Third Avenue and King Street,1900,"Dawson City , Yukon",Two-storey wooden building with a three-storey hexagonal tower . The building incorporates post-office and a telegraph annex
Territorial Administration Building 595 Fifth Avenue,1901,"Dawson City , Yukon","A two-storey neoclassical building , built with fir and cedar imported to the Yukon from British Columbia . The design features elements used elsewhere in Fuller 's Dawson building program , including pediments , columns , axial symmetry , and gentle relief"
Mewata Armouries 801 11th Street S.W,1915-8,"Calgary , Alberta","The building was designed in a Tudor/Gothic Revival style . A classic example of armoury design , Mewata has features deliberately bringing to mind a medieval fortress or castle , including four square corner towers , four smaller six sided towers , and buttresses with turrets and a crenellated roofline"
Bessborough Armoury 2025 West 11th Avenue,1932-3,"Vancouver , British Columbia","large Neo-Gothic style structure with a low-pitched gable roof on a flat site faced by mature trees within an area of containing light industry , and adjacent to a residential area"
"Victoria Rifles Armoury , 691 Cathcart Street",1933,"Montréal , Quebec","Housing Le Régiment de Maisonneuve , this Gothic Revival armoury ` s two-dimensional façade with a low-pitched gable roof is pressed up against its urban streetscape"
"Côte des Neiges Armoury 4185 Chemin de la Côte des Neiges ,",1934-35,"Montréal , Quebec","On a treed site on the southwest perimeter of Mount Royal Park , this Châteauesque structure houses The Royal Canadian Hussars ( Montreal ) ; 2nd Field Regiment , Royal Canadian Artillery"
"Regina Armoury , 1600 Elphinstone Avenue ,",1928,"Regina , Saskatchewan","This centrally located Neo-Gothic style fortress like building with a low-pitched gable roof is in a modern residential neighbourhood adjacent to the Regina Exhibition Grounds , Organizations that use the armoury include : Regina units of 38th Brigade Group : 10th Field Regiment , Royal Canadian Artillery , Royal Regina Rifles , 16th ( Saskatchewan ) Service Battalion , 16th Medical Company , cadet corps and the Military Museum of Saskatchewan"
Rouyn Armoury,1935-6,"Rouyn , Quebec","centrally located , symmetrical Neo-Gothic style building with a steeply pitched gable roof"
Seaforth Armoury 1650 Burrard Street,1936 ( completed ),"Vancouver , British Columbia","designed by architects McCarter and Nairne , the massive , low-massed , asymmetrical , concrete Neo-Gothic style structure with a fortified appearance is as a Class A Heritage Building in downtown Vancouver housing The Seaforth Highlanders of Canada"
"Confederation Building ( Ottawa ) , Wellington Street at Bank Street",1928-31,"Ottawa , Ontario",
"The Ore Building , Booth Street",1929,"Ottawa , Ontario",
"Custom House , Front Street West at Yonge Street",1930-31,"Toronto , Ontario",
"Department of Justice Building , Wellington Street",1935-7,"Ottawa , Ontario",
"Dominion Public Building , 457 Richmond Street",1935-1936,"London , Ontario",
"Federal Building , Sinclair Centre",1935-1937,"Vancouver , British Columbia",Beaux-Arts extension of Post Office Building by David Ewart
