Date,Athlete,Country,Time
23 May 1981,Marja Wokke,Netherlands,2:43:23
22 May 1982,Mathilde Heuing,West Germany,2:54:03
9 April 1983,Rosa Mota,Portugal,2:32:27
14 April 1984,Carla Beurskens,Netherlands,2:34:56
20 April 1985,Wilma Rusman,Netherlands,2:35:32
19 April 1986,Ellinor Ljungros,Sweden,2:41:06
18 April 1987,Nelly Aerts,Belgium,2:41:24
17 April 1988,Xiao Hongyan,China,2:37:46
16 April 1989,Elena Murgoci,Romania,2:32:03
22 April 1990,Carla Beurskens,Netherlands,2:29:47
21 April 1991,Joke Kleijweg,Netherlands,2:34:18
5 April 1992,Aurora Cunha,Portugal,2:29:14
18 April 1993,Anne van Schuppen,Netherlands,2:34:15
17 April 1994,Miyoko Asahina,Japan,2:25:52
23 April 1995,Mónica Pont,Spain,2:30:34
28 April 1996,Lieve Slegers,Belgium,2:28:06
20 April 1997,Tegla Laroupe,Kenya,2:22:07
19 April 1998,Tegla Laroupe,Kenya,2:20:47
18 April 1999,Tegla Laroupe,Kenya,2:22:48
16 April 2000,Ana Isabel Alonso,Spain,2:30:21
