Year,Title,Role
1992,The Crane,Young Man
1994,Shopping,Billy
1996,"I Love You , I Love You Not",Ethan
1997,Bent,Stormtrooper
1997,Wilde,Lord Alfred Douglas
1997,Gattaca,Jerome Eugene Morrow
1997,Midnight in the Garden of Good and Evil,Billy Carl Hanson
1998,Music from Another Room,Danny
1998,Final Cut,Jude
1998,The Wisdom of Crocodiles,Steven Grlscz
1999,Existenz,Ted Pikul
1999,Tube Tales,
1999,Presence of Mind,Secretary
1999,The Talented Mr. Ripley,Dickie Greenleaf
2000,"Love , Honour and Obey",Jude
2000,Happy M'Gee,Tony M'Gee
2001,Enemy at the Gates,Vasily Zaytsev
2001,A.I . Artificial Intelligence,Gigolo Joe
2002,Road to Perdition,Harlen Maguire
2003,Cold Mountain,W.P . Inman
