Scientific name,Common name,Family,Conservation concern
Tamias striatus,eastern chipmunk,Sciuridae,Lowest
Marmota monax,woodchuck groundhog,Sciuridae,Lowest
Sciurus carolinensis,eastern gray squirrel,Sciuridae,Lowest
Sciurus niger,fox squirrel eastern fox squirrel Bryant 's fox squirrel,Sciuridae,Low Note : Alabama examples often have a black facial mask with white nose and ears
Glaucomys volans,southern flying squirrel,Sciuridae,Lowest
Geomys pinetis,southeastern pocket gopher,Geomyidae,"High Note : Geomys bursarius is pictured , however Geomys pinetis is nearly identical in appearance"
Castor canadensis,North American beaver,Castoridae,Lowest
Oryzomys palustris,marsh rice rat,Cricetidae,Lowest
Reithrodontomys humulis,eastern harvest mouse,Cricetidae,Moderate
Peromyscus polionotus,oldfield mouse beach mouse,Cricetidae,Moderate
Peromyscus polionotus ammobates,Alabama beach mouse,Cricetidae,Highest/ U.S . Fish and Wildlife lists as endangered . Range limited to Fort Morgan Peninsula and Ono Island in Baldwin County
Peromyscus polionotus trissyllepsis,Perdido Key beach mouse,Cricetidae,"Highest/ U.S . Fish and Wildlife lists as endangered . Range limited to the barrier island of Perdido Key in Baldwin County , Alabama and Escambia County , Florida"
Peromyscus gossypinus,cotton mouse,Cricetidae,Lowest
Peromyscus leucopus,white-footed mouse,Cricetidae,Lowest
Ochrotomys nuttalli,golden mouse,Cricetidae,Lowest
Sigmodon hispidus,hispid cotton rat,Cricetidae,Lowest
Neotoma cinerea,eastern woodrat Florida woodrat,Cricetidae,Moderate
Neotoma magister,Allegheny woodrat,Cricetidae,High
Microtus ochrogaster,prairie vole,Cricetidae,Moderate
Microtus pinetorum,pine vole woodland vole,Cricetidae,Low
