Team,No . of Appearances,Years in Semi-finals
Real Madrid,27,"1958 , 1961 , 1962 , 1963 , 1964 , 1965 , 1967 , 1968 , 1969 , 1970 , 1971 , 1974 , 1975 , 1976 , 1978 , 1980 , 1985 , 1993 , 1995 , 1996 , 2011 , 2013 , 2014 , 2015 , 2017 , 2018 , 2019"
CSKA Moscow,27,"1961 , 1962 , 1963 , 1965 , 1966 , 1969 , 1970 , 1971 , 1973 , 1996 , 2001 FIBA SuproLeague , 2003 , 2004 , 2005 , 2006 , 2007 , 2008 , 2009 , 2010 , 2012 , 2013 , 2014 , 2015 , 2016 , 2017 , 2018 , 2019"
Maccabi Tel Aviv,17,"1977 , 1980 , 1981 , 1982 , 1987 , 1988 , 1989 , 1991 , 2000 , 2001 FIBA SuproLeague , 2002 , 2004 , 2005 , 2006 , 2008 , 2011 , 2014"
FC Barcelona,15,"1984 , 1989 , 1990 , 1991 , 1994 , 1996 , 1997 , 2000 , 2003 , 2006 , 2009 , 2010 , 2012 , 2013 , 2014"
Panathinaikos,12,"1972 , 1994 , 1995 , 1996 , 2000 , 2001 FIBA SuproLeague , 2002 , 2005 , 2007 , 2009 , 2011 , 2012"
Varese,11,"1965 , 1970 , 1971 , 1972 , 1973 , 1974 , 1975 , 1976 , 1977 , 1978 , 1979"
Olympiacos,10,"1994 , 1995 , 1997 , 1999 , 2009 , 2010 , 2012 , 2013 , 2015 , 2017"
Olimpia Milano,8,"1964 , 1966 , 1967 , 1968 , 1983 , 1987 , 1988 , 1992"
Baskonia,6,"2001 Euroleague Basketball , 2005 , 2006 , 2007 , 2008 , 2016"
Virtus Bologna,5,"1981 , 1998 , 1999 , 2001 Euroleague Basketball , 2002"
Fenerbahçe,5,"2015 , 2016 , 2017 , 2018 , 2019"
Rīgas ASK,4,"1958 , 1959 , 1960 , 1961"
Brno,4,"1963 , 1964 , 1968 , 1969"
Split,4,"1972 , 1989 , 1990 , 1991"
Partizan,4,"1988 , 1992 , 1998 , 2010"
Mens Sana 1871,4,"2003 , 2004 , 2008 , 2011"
Treviso,4,"1993 , 1998 , 2002 , 2003"
USK Praha,4,"1966 , 1967 , 1970 , 1971"
OKK Beograd,3,"1959 , 1964 , 1965"
Dinamo Tbilisi,3,"1960 , 1962 , 1963"
