Title,Genre ( s ),Developer,Role,System,Year
A Game of Thrones : Genesis,Strategy,Cyanide Studio,Publisher,Microsoft Windows,2011
A Plague Tale : Innocence,"Action , adventure",Asobo Studio,Publisher,"Microsoft Windows , PlayStation 4 , Xbox One",2019
Act of Aggression,Real-time strategy,Eugen Systems,Publisher,Microsoft Windows,2015
Battlefleet Gothic : Armada,Real-time strategy,Tindalos Interactive,Publisher,Microsoft Windows,2016
Battlefleet Gothic : Armada 2,Real-time strategy,Tindalos Interactive,Publisher,Microsoft Windows,2019
Blood Bowl,"Sports , turn-base strategy , real-time strategy",Cyanide Studio,Publisher,"Microsoft Windows , Nintendo DS , Xbox 360 , PlayStation Portable",2009
Blood Bowl 2,"Sports , turn-base strategy , real-time strategy",Cyanide Studio,Publisher,"Microsoft Windows , PlayStation 4 , Xbox One",2015
Blood Bowl : Chaos Edition,"Sports , turn-base strategy , real-time strategy",Cyanide Studio,Publisher,Microsoft Windows,2012
Bound by Flame,Action role-playing,Spiders,Distributor,"Microsoft Windows , PlayStation 3 , PlayStation 4 , Xbox 360",2014
Call of Cthulhu : The Official Video Game,"Role-playing , survival horror",Cyanide Studio,Publisher,"Microsoft Windows , PlayStation 4 , Xbox One , Nintendo Switch",2018
Chaos League,"Sports , management , real-time strategy",Cyanide Studio,Publisher,Microsoft Windows,2004
Chaos League : Sudden Death,"Sports , management , real-time strategy",Cyanide Studio,Publisher,Microsoft Windows,2004
Cities XL,"City-building game , massively multiplayer online game",Cyanide Studio,Distributor,Microsoft Windows,2009
Cities XL 2011,City simulator,Focus Home Interactive,Publisher,Microsoft Windows,2010
Cities XL 2012,City simulator,Focus Home Interactive,Publisher,Microsoft Windows,2011
Cities XXL,City simulator,Focus Home Interactive,Publisher,Microsoft Windows,2015
City Life,City simulator,Monte Cristo,Distributor,Microsoft Windows,2006
City Life,City simulator,Monte Cristo,Publisher,Nintendo DS,2008
City Life Edition 2008,City simulator,Monte Cristo,Publisher,Microsoft Windows,2007
Confrontation,Role-playing game,Cyanide Studio,Publisher,Microsoft Windows,2012
