Pos,No,Driver,Constructor,Time,Gap
1,3,Michael Schumacher,Ferrari,1:18.561,-
2,4,Eddie Irvine,Ferrari,1:18.907,+0.346
3,8,Mika Häkkinen,McLaren - Mercedes,1:18.940,+0.379
4,5,Giancarlo Fisichella,Benetton - Playlife,1:19.048,+0.487
5,7,David Coulthard,McLaren - Mercedes,1:19.169,+0.608
6,10,Ralf Schumacher,Jordan - Mugen-Honda,1:19.455,+0.894
7,2,Heinz-Harald Frentzen,Williams - Mecachrome,1:19.522,+0.961
8,6,Alexander Wurz,Benetton - Playlife,1:19.569,+1.008
9,1,Jacques Villeneuve,Williams - Mecachrome,1:19.631,+1.070
10,9,Damon Hill,Jordan - Mugen-Honda,1:19.807,+1.246
11,14,Jean Alesi,Sauber - Petronas,1:20.493,+1.932
12,18,Rubens Barrichello,Stewart - Ford,1:20.530,+1.969
13,15,Johnny Herbert,Sauber - Petronas,1:20.650,+2.089
14,12,Jarno Trulli,Prost - Peugeot,1:20.709,+2.148
15,11,Olivier Panis,Prost - Peugeot,1:21.048,+2.487
16,17,Mika Salo,Arrows,1:21.120,+2.559
17,16,Pedro Diniz,Arrows,1:21.258,+2.697
18,19,Jos Verstappen,Stewart - Ford,1:21.501,+2.940
19,21,Toranosuke Takagi,Tyrrell - Ford,1:21.525,+2.964
20,22,Shinji Nakano,Minardi - Ford,1:22.078,+3.517
