Church,Dates,Location,"City , State",Description
St. Patrick 's Church,built 1877 1983 NRHP-listed,"County Road A 43°37′0″N 87°55′49″W / 43.61667°N 87.93028°W / 43.61667 ; -87.93028 ( St. Patrick 's Catholic Church ( Adell , Wisconsin ) )","Adell , Wisconsin",Late Gothic Revival
St. Peter 's Church,built 1901 1980 NRHP-listed,"Sherman Ave. roughly between Marston Ave. and N. Brearly St. 43°5′24″N 89°22′27″W / 43.09000°N 89.37417°W / 43.09000 ; -89.37417 ( St. Peter 's Roman Catholic Church ( Ashton , Wisconsin ) )","Ashton , Wisconsin",
Notre Dame Church,built 1872 1983 NRHP-listed,117 Allen St. 44°56′9″N 91°23′12″W / 44.93583°N 91.38667°W / 44.93583 ; -91.38667 ( Notre Dame Church and Goldsmith Memorial Chapel ),"Chippewa Falls , Wisconsin",Romanesque
St. Joseph 's Chapel,built 1896 1988 NRHP-listed,"Sacred Heart Cemetery , Omaha St. 44°49′27″N 91°28′50″W / 44.82417°N 91.48056°W / 44.82417 ; -91.48056 ( St. Joseph 's Chapel ( Eau Claire , Wisconsin ) )","Eau Claire , Wisconsin",Gothic Revival
St. Patrick 's Church,built 1885 1963 NRHP-listed,"322 Fulton St. 44°48′41″N 91°30′30″W / 44.81139°N 91.50833°W / 44.81139 ; -91.50833 ( St. Patrick 's Catholic Church ( Eau Claire , Wisconsin ) )","Eau Claire , Wisconsin",Late Gothic Revival/Romanesque
"Holy Hill National Shrine of Mary , Help of Christians",built 1862 1992 NRHP-listed,"1525 Carmel Rd . 43°14′42″N 88°19′38″W / 43.24500°N 88.32722°W / 43.24500 ; -88.32722 ( Holy Hill National Shrine of Mary , Help of Christians )","Erin , Wisconsin",Romanesque Revival
Holy Cross Church,built 1862 2001 NRHP-listed,"3001 Bay Settlement Rd . 44°33′20″N 87°53′27″W / 44.55556°N 87.89083°W / 44.55556 ; -87.89083 ( Holy Cross Catholic Church ( Green Bay , Wisconsin ) )","Green Bay , Wisconsin",Romanesque & Italianate
St. Francis Xavier Cathedral,built 1881,"140 S. Monroe Ave. 44°30′40.86″N 88°0′41.02″W / 44.5113500°N 88.0113944°W / 44.5113500 ; -88.0113944 ( Saint Francis Xavier Cathedral ( Green Bay , Wisconsin ) )","Green Bay , Wisconsin",Romanesque Revival
St. Mary of the Angels Church,2019 NRHP-listed,"645 S. Irwin Ave. 44°30′0.9″N 88°0′08.3″W / 44.500250°N 88.002306°W / 44.500250 ; -88.002306 ( St. Mary of the Angels Church and Monastery ( Green Bay , Wisconsin ) )","Green Bay , Wisconsin",Gothic Revival
Historic Saint Ann 's Church,built 1888 1995 NRHP-listed,"W3963 Brehm Ave. 45°16′50″N 90°15′2″W / 45.28056°N 90.25056°W / 45.28056 ; -90.25056 ( Saint Ann 's Catholic Church ( Honey Creek , Wisconsin ) )","Greenwood , Taylor County , Wisconsin",Late Gothic Revival
Our Lady of Loretto Church,built 1880 1990 NRHP-listed,"Co. Hwy . C , 1 mi . W of Denzer 43°21′3″N 89°54′17″W / 43.35083°N 89.90472°W / 43.35083 ; -89.90472 ( Our Lady of Loretto Catholic Church ( Honey Creek , Wisconsin ) )","Honey Creek , Wisconsin",Gothic Revival
St. John the Baptist Church,built 1857 1980 NRHP-listed,"N9288 County Road W 43°52′36″N 88°17′26″W / 43.87667°N 88.29056°W / 43.87667 ; -88.29056 ( St. John the Baptist Catholic Church ( Johnsburg , Wisconsin ) )","Johnsburg , Wisconsin",Romanesque
Holy Cross Church,built 1898 1984 NRHP-listed,"309 Desnoyer St. 44°17′03″N 88°16′08″W / 44.28417°N 88.26889°W / 44.28417 ; -88.26889 ( Holy Cross Catholic Church ( Kaukauna , Wisconsin ) )","Kaukauna , Wisconsin",Diocese of Green Bay
St. Mary 's Church,built 1898 1984 NRHP-listed,"119 W. 7th St. 44°16′27″N 88°16′34″W / 44.27417°N 88.27611°W / 44.27417 ; -88.27611 ( St. Mary 's Catholic Church ( Kaukauna , Wisconsin ) )","Kaukauna , Wisconsin",Neo-Gothic and Ecclesiastical
St. John of God Church,built 1891 1979 NRHP-listed,"43°30′48″N 88°6′35″W / 43.51333°N 88.10972°W / 43.51333 ; -88.10972 ( St. John of God ( Kewaskum , Wisconsin ) )","Kewaskum , Wisconsin",Gothic Revival
Cathedral of Saint Joseph the Workman,built 1962,"530 Main St. 43°48′40″N 91°14′55″W / 43.81111°N 91.24861°W / 43.81111 ; -91.24861 ( Cathedral of Saint Joseph the Workman ( La Crosse , Wisconsin ) )","La Crosse , Wisconsin",Modern Gothic Revival
Maria Angelorum Chapel,built 1906 2006 NRHP-listed,"901 Franciscan Way 43°48′14″N 91°14′37″W / 43.80389°N 91.24361°W / 43.80389 ; -91.24361 ( St. Rose of Viterbo Convent ( La Crosse , Wisconsin ) )","La Crosse , Wisconsin",Romanesque
St. Francis of Assisi Mission Church,built 1884 1979 NRHP-listed,"45°18′8″N 91°11′55″W / 45.30222°N 91.19861°W / 45.30222 ; -91.19861 ( St. Francis of Assisi Mission Church ( Ladysmith , Wisconsin ) )","Ladysmith , Wisconsin",First church in Rusk County
St. Patrick 's Church,built 1889 1982 NRHP-listed,"404 E. Main St. 43°04′37″N 89°22′44″W / 43.07694°N 89.37889°W / 43.07694 ; -89.37889 ( St. Patrick 's Catholic Church ( Madison , Wisconsin ) )","Madison , Wisconsin",Romanesque Revival
Saint Joseph of the Lake Church,built 1876 2000 NRHP-listed,Address Restricted,"Menominee Indian Reservation , Wisconsin",Gothic Revival
