Year,Champion,Runner-up,MVP
2008,Tulsa,Bradley,"Jerome Jordan , Tulsa"
2009,Oregon State,UTEP,"Roeland Schaftenaar , Oregon State"
2010,VCU,Saint Louis,"Joey Rodriguez , VCU"
2011,Oregon,Creighton,"Joevan Catron , Oregon"
2012,Pittsburgh,Washington State,"Lamar Patterson , Pittsburgh"
2013,Santa Clara,George Mason,"Kevin Foster , Santa Clara"
2014,Siena,Fresno State,"Brett Bisping , Siena"
2015,Loyola Chicago,UL Monroe,"Earl Peterson , Loyola Chicago"
2016,Nevada,Morehead State,"Tyron Criswell , Nevada"
2017,Wyoming,Coastal Carolina,"Justin James , Wyoming"
2018,North Texas,San Francisco,"Roosevelt Smart , North Texas"
2019,South Florida,DePaul,"David Collins , South Florida"
