Year,French title,English title,Directed by
1960,À bout de souffle,Breathless,Jean-Luc Godard
1960,Tirez sur le pianiste,Shoot the Piano Player,François Truffaut
1962,L'amour à vingt ans,Love at Twenty,François Truffaut
1962,Jules et Jim,Jules and Jim,François Truffaut
1962,Cléo de 5 à 7,Cleo from 5 to 7,Agnès Varda
1964,La peau douce,The Soft Skin,François Truffaut
1966,"Masculin , féminin",,Jean-Luc Godard
1966,Au hasard Balthazar,,Robert Bresson
1966,Un Homme et Une Femme,,Claude Lelouch
1967,2 ou 3 choses que je sais d'elle,Two or Three Things I Know About Her,Jean-Luc Godard
1967,Belle de jour,Day Lilly/Daylight Beauty,Luis Buñuel
1967,Le Samouraï,The Godson,Jean-Pierre Melville
1967,Soleil O,"Oh , Sun",Med Hondo
1967,Alexandre le Bienheureux,Alexander,Yves Robert
1968,Baisers volés,Stolen Kisses,François Truffaut
1968,La Mariée était en noir,The Bride Wore Black,François Truffaut
1969,La sirène du Mississipi,Mississippi Mermaid,François Truffaut
1969,Que la bête meure,This Man Must Die,Claude Chabrol
