Rank,Country,Team,Time
1,Romania,Lidia Simon Aurica Buia Nuta Olaru,3:33:05
2,France,Christine Mallo Zahia Dahmani Muriel Linsolas,3:38:44
3,Italy,Lucilla Andreucci Annalisa Scurti Sonia Maccioni,3:41:28
4,Russia,Firiya Sultanova Alla Zhilyayeva Irina Safarova,3:43:09
5,Ukraine,Nina Korvryzkina Tatyana Dzhabrayilova Tatyana Belovol,3:45:24
6,Spain,Teresa Récio María Luisa Lárraga Angelines Rodríguez,3:45:25
7,Ethiopia,Getenesh Urge Emebet Abossa Gadissie Edato,3:46:31
8,United States,Wendy Barrett Lorraine Masuoka/Hochella Katrina Price,3:48:17
9,Great Britain,Sally Goldsmith Danielle Sanderson Hayley Nash,3:50:14
10,China,Ren Xiujuan Chunping Jin Lu Jing,3:50:20
11,Poland,Dorota Gruca-Giezek Renata Paradowska Danuta Marczyk,3:51:32
12,South Africa,Zola Pieterse Nicole Whiteford Lizianne Holmes,3:51:32
13,Mexico,Paola Cabrera Adriana Fernández Eloisa Toral,3:55:21
14,Belgium,Sonja Deckers Anniek Beckers Ingrid Van Giel,3:57:16
15,India,Usha Verma Shelyi Joseph Rigzen Angmo,4:16:03
