Institution,Location,Country
University of Leoben,Leoben,Austria
"Faculty of Applied Sciences - Mining & Geology , Université de Liège",Liège,Belgium
"Department of Natural Resources , Katholieke Universiteit Leuven",Leuven,Belgium
"Faculty of Mining Engineering , Faculté polytechnique de Mons",Mons,Belgium
"Faculty of Mining , Geology and Civil Engineering , University of Tuzla",Tuzla,Bosnia and Herzegovina
"Faculty of Mining , Geology and Petroleum Engineering , University of Zagreb",Zagreb,Croatia
"Chair of Mining Engineering , Department of Mining , Tallinn University of Technology",Tallinn,Estonia
Helsinki University of Technology,"Helsinki , Finland",Finland
Groupe des écoles des mines ( GEM ) Seven engineering schools in France : Mines ParisTech École Nationale Supérieure des Mines de Nancy École Nationale Supérieure des Mines de Saint-Étienne École des Mines d'Alès École des Mines de Douai École des Mines de Nantes École des mines d'Albi-Carmaux,Paris Nancy Saint-Étienne Alès Douai Nantes Albi,France
"Faculty of Mining and Geotechnical Engineering , University of Miskolc",Miskolc,Hungary
Politecnico di Torino,Turin,Italy
Technische Universität Bergakademie Freiberg,Freiberg,Germany
Technische Universität Clausthal,Clausthal-Zellerfeld,Germany
TH Georg Agricola,Bochum,Germany
RWTH Aachen University,Aachen,Germany
"Faculty of Mining Engineering and Metallurgy , National Technical University of Athens",Athens,Greece
"Faculty of Mining Resources Engineering , Technical University of Crete",Crete,Greece
Technische Universiteit Delft,Delft,Netherlands
"Department of Geology and Mineral Resources Engineering , Norwegian University of Science and Technology",Trondheim,Norway
"Faculty of Mining and Geology , Silesian University of Technology",Gliwice,Poland
