Rally Name,Dates run,Podium Drivers ( Finishing Time ),Podium Cars
Rallye Monte Carlo,21 January-27 January,Didier Auriol ( 6h:13m:43s ) François Delecour ( 6h:13m:58s ) Miki Biasion ( 6h:16m:59s ),Toyota Celica Turbo 4WD Ford Escort RS Cosworth Ford Escort RS Cosworth
Swedish Rally,12 February-14 February,Mats Jonsson ( 4h:49m:05s ) Juha Kankkunen ( 4h:49m:18s ) Colin McRae ( 4h:49m:33s ),Toyota Celica Turbo 4WD Toyota Celica Turbo 4WD Subaru Legacy RS
Rallye de Portugal,3 March-6 March,François Delecour ( 6h:20m:37s ) Miki Biasion ( 6h:21m:32s ) Andrea Aghini ( 6h:23m:17s ),Ford Escort RS Cosworth Ford Escort RS Cosworth Lancia Delta HF Integrale
Safari Rally,8 April-12 April,Juha Kankkunen ( +3m:54s penalties ) Markku Alén ( +4m:03s penalties ) Ian Duncan ( +5m:24s penalties ),Toyota Celica Turbo 4WD Toyota Celica Turbo 4WD Toyota Celica Turbo 4WD
Tour de Corse,2 May-4 May,François Delecour ( 6h:14m:41s ) Didier Auriol ( 6h:15m:43s ) François Chatriot ( 6h:17m:23s ),Ford Escort RS Cosworth Toyota Celica Turbo 4WD Toyota Celica Turbo 4WD
Acropolis Rally,30 May-1 June,Miki Biasion ( 6h:54m:35s ) Carlos Sainz ( 6h:55m:48s ) Armin Schwarz ( 6h:57m:19s ),Ford Escort RS Cosworth Lancia Delta HF Integrale Mitsubishi Lancer RS
Rally Argentina,14 July-17 July,Juha Kankkunen ( 5h:32m:31s ) Miki Biasion ( 5h:34m:25s ) Didier Auriol ( 5h:49m:29s ),Toyota Celica Turbo 4WD Ford Escort RS Cosworth Toyota Celica Turbo 4WD
Rally New Zealand,5 August-8 August,Colin McRae ( 6h:12m:31s ) François Delecour ( 6h:12m:58s ) Didier Auriol ( 6h:13m:00s ),Subaru Legacy RS Ford Escort RS Cosworth Toyota Celica Turbo 4WD
1000 Lakes Rally,27 August-29 August,Juha Kankkunen ( 4h:23m:51s ) Ari Vatanen ( 4h:24m:38s ) Didier Auriol ( 4h:26m:01s ),Toyota Celica Turbo 4WD Subaru Impreza 555 Toyota Celica Turbo 4WD
Rally Australia,18 September-21 September,Juha Kankkunen ( 5h:19m:58s ) Ari Vatanen ( 5h:25m:50s ) François Delecour ( 5h:43m:42s ),Toyota Celica Turbo 4WD Subaru Legacy RS Ford Escort RS Cosworth
Rallye Sanremo,11 October-13 October,Gianfranco Cunico ( 6h:19m:40s ) Patrick Snijers ( 6h:21m:18s ) Gilberto Pianezzola ( 6h:30m:08s ),Ford Escort RS Cosworth Ford Escort RS Cosworth Lancia Delta HF Integrale
Rally Catalunya,2 November-4 November,François Delecour ( 5h:36m:19s ) Didier Auriol ( 5h:37m:19s ) Juha Kankkunen ( 5h:40m:28s ),Ford Escort RS Cosworth Toyota Celica Turbo 4WD Toyota Celica Turbo 4WD
RAC Rally,21 November-24 November,Juha Kankkunen ( 6h:25m:48s ) Kenneth Eriksson ( 6h:27m:32s ) Malcolm Wilson ( 6h:30m:51s ),Toyota Celica Turbo 4WD Mitsubishi Lancer RS Ford Escort RS Cosworth
