Date,Co-Hosts,Guests/Segments
November 1,Regis Philbin & Kelly Ripa,"Nicole Kidman , Seth Meyers , Will Forte"
November 2,Regis Philbin & Kelly Ripa,"Jude Law , Laura Prepon , Ruben Studdard"
November 3,Regis Philbin & Kelly Ripa,"Whoopi Goldberg , Tommy Lee , Carly Patterson"
November 4,Regis Philbin & Kelly Ripa,"Matt LeBlanc , Mischa Barton , Rachael Ray"
November 5,Regis Philbin & Kelly Ripa,"Nicollette Sheridan , Jay-Z"
November 8,Regis Philbin & Kelly Ripa,"David Letterman , Tyra Banks"
November 9,Regis Philbin & Kelly Ripa,"Tom Hanks , Seal"
November 10,Regis Philbin & Kelly Ripa,"Salma Hayek , Alicia Keys"
November 11,Regis Philbin & Kelly Ripa,"Pierce Brosnan , Adam Brody , Tony Bennett"
November 12,Regis Philbin & Kelly Ripa,"Liam Neeson , Marcia Cross"
November 15,Regis Philbin & Kelly Ripa,"Dan Aykroyd , Los Lonely Boys"
November 16,Regis Philbin & Kelly Ripa,"Tim Allen , Caroline Rhea"
November 17,Regis Philbin & Kelly Ripa,"Nicolas Cage , Dame Edna"
November 18,Regis Philbin & Kelly Ripa,"Renée Zellweger , Clay Aiken"
November 19,Regis Philbin & Kelly Ripa,"Hugh Grant , Rosario Dawson"
November 22,Regis Philbin & Kelly Ripa,"Colin Firth , Paul Reubens , Fantasia Barrino"
November 23,Regis Philbin & Kelly Ripa,"Jerry Seinfeld , Ryan Cabrera"
November 24,Regis Philbin & Kelly Ripa,"Colin Farrell , Eric McCormack"
November 26,Regis Philbin & Kelly Ripa,Kelsey Grammer
November 29,Regis Philbin & Kelly Ripa,"Peter Gallagher , Kurt Busch , Kenny G , Yolanda Adams"
