Event,Time,Name,Club,Date,Location
50m freestyle,21.59,Bruno Fratus,Brazil,5 December 2019,"Atlanta , United States"
100m freestyle,47.69,Zach Apple,Mission Viejo Nadadores,7 December 2019,"Atlanta , United States"
200m freestyle,1:45.92,Townley Haas,NOVA of Virginia Aquatics,6 December 2019,"Atlanta , United States"
400m freestyle,3:45.63,Zane Grothe,Badger Swim Club,3 August 2016,"Minneapolis , United States"
800m freestyle,7:47.27,Chad La Tourette,Mission Viejo Nadadores,8 August 2009,"Federal Way , United States"
1500m freestyle,14:55.46,Damien Joly,France,2 August 2017,"East Meadow , United States"
100m backstroke,52.51,Nick Thoman,-,7 August 2009,"Federal Way , United States"
200m backstroke,1:54.59,Nick Thoman,-,5 August 2009,"Federal Way , United States"
100m breaststroke,59.28,Andrew Wilson,Athens Bulldog Swim Club,6 December 2019,"Atlanta , United States"
200m breaststroke,2:09.67,Cody Miller,Sandpipers of Nevada,7 December 2019,"Atlanta , United States"
100m butterfly,51.65,Thomas Shields,California Aquatics,1 August 2013,"Irvine , United States"
200m butterfly,1:55.60,Luca Urlando,Davis Arden Racing Team,7 December 2019,"Atlanta , United States"
200m individual medley,1:57.28,Chase Kalisz,Athens Bulldog Swim Club,5 December 2019,"Atlanta , United States"
400m individual medley,4:11.11,Sebastien Rousseau,South Africa,1 August 2013,"Irvine , United States"
4×100m freestyle relay,3:16.87,( 49.50 ) William Stockwell ( 49.11 ) Alexander Graham ( 49.21 ) Blake Jones ( 49.05 ) Zac Inserti,Australia,3 August 2016,"Minneapolis , United States"
4×200m freestyle relay,7:18.82,( 1:49.37 ) Jack Brown ( 1:47.92 ) Adam Ritter ( 1:50.94 ) Alexander Tipton ( 1:50.59 ) Austen Thompson,Tucson Ford Dealers Aquatics,6 August 2009,"Federal Way , United States"
4×100m medley relay,3:36.55,( 53.97 ) Matt Clay ( 1:00.12 ) James Gibson ( 52.86 ) Ian Hulme ( 49.60 ) Charles Turner,Great Britain,2 August 2008,"Minneapolis , United States"
