Original NFL team,Player,Pos,College,Conf
Baltimore Ravens,Don Muhlbach,LS,Texas A & M,Big 12
Baltimore Ravens,B.J . Sams,WR,McNeese State,Southland
Baltimore Ravens,Lance Frazier,CB,West Virginia,Big East
Buffalo Bills,Jabari Greer,CB,Tennessee,SEC
Buffalo Bills,Jason Peters,TE / OT,Arkansas,SEC
Carolina Panthers,Jordan Carstens,DT,Iowa State,Big 12
Chicago Bears,Jeremy Cain,LS,Massachusetts,A-10
Cincinnati Bengals,Kyle Larson,P,Nebraska,Big 12
Dallas Cowboys,Terrance Copper,WR,East Carolina,C-USA
Dallas Cowboys,Ryan Fowler,LB,Duke,ACC
Dallas Cowboys,Lousaka Polite,FB,Pittsburgh,Big East
Denver Broncos,Tyson Clabo,OT,Wake Forest,ACC
Detroit Lions,George Wilson,S,Arkansas,SEC
Green Bay Packers,Vonta Leach,FB,East Carolina,C-USA
Indianapolis Colts,Ben Utecht,TE,Minnesota,Big Ten
Kansas City Chiefs,Ryan Lilja,G,Kansas State,Big 12
Kansas City Chiefs,Benny Sapp,CB,Northern Iowa,Gateway
Minnesota Vikings,Anthony Herrera,G,Tennessee,SEC
Minnesota Vikings,Spencer Johnson,DT,Auburn,SEC
New England Patriots,Eric Alexander,LB,LSU,SEC
