Year,Champion,Score,Runner-up,Venue,Tournament MVP
1987,North Carolina,4-3*,NC State,"Duke Soccer Stadium • Durham , North Carolina",Derek Missimo ( UNC )
1988,Virginia,2-1,North Carolina,"Riggs Field • Clemson , South Carolina",none named
1989,Wake Forest,2-2,NC State,"Duke Soccer Stadium • Durham , North Carolina",Neil Covone ( Wake )
1990,NC State,2-1,Virginia,"Duke Soccer Stadium • Durham , North Carolina",Henry Gutierrez ( NC State )
1991,Virginia ( 2 ),3-1,Wake Forest,"Fetzer Field • Chapel Hill , North Carolina",Claudio Reyna ( Virginia )
1992,Virginia ( 3 ),4-2,Clemson,"Fetzer Field • Chapel Hill , North Carolina",Brad Agoos ( Virginia )
1993,Virginia ( 4 ),2-1,Clemson,"Fetzer Field • Chapel Hill , North Carolina",Jaro Zawislan ( Clemson )
1994,Virginia ( 5 ),1-0,Duke,"Riggs Field • Clemson , South Carolina",Mark Peters ( Virginia )
1995,Virginia ^ ( 6 ),1-0,Clemson,"Duke Soccer Stadium • Durham , North Carolina",Mike Fisher ( Virginia )
1996,Maryland,2-0,Virginia,"Klöckner Stadium • Charlottesville , Virginia",Pierre Venditti ( Maryland )
1997,Virginia ( 7 ),2-0,Maryland,"Disney 's Wide World of Sports • Orlando , Florida",Ben Olsen ( Virginia )
1998,Clemson,1-0,Duke,"Spry Soccer Stadium • Winston-Salem , North Carolina",Josh Campbell ( Clemson )
1999,Duke,2-1*,Virginia,"Spry Soccer Stadium • Winston-Salem , North Carolina",Troy Garner ( Duke )
2000,North Carolina ( 2 ),1-0*,Virginia,"Spry Soccer Stadium • Winston-Salem , North Carolina",Caleb Norkus ( UNC )
2001,Clemson ( 2 ),2-1,Virginia,"Riggs Field • Clemson , South Carolina",Ian Fuller ( Clemson )
2002,Maryland ^ ( 2 ),3-0,Virginia,"SAS Soccer Complex • Cary , North Carolina",Abe Thompson ( Maryland )
2003,Virginia ( 8 ),1-1,Maryland,"SAS Soccer Complex • Cary , North Carolina",Ryan Burke ( Virginia )
2004,Virginia ( 9 ),2-1,Maryland,"SAS Soccer Complex • Cary , North Carolina",Jeremy Barlow ( Virginia )
2005,Duke ( 2 ),0-0,North Carolina,"SAS Soccer Complex • Cary , North Carolina",Blake Camp ( Duke )
2006,Duke ( 3 ),1-0*,Wake Forest,"Maryland SoccerPlex • Germantown , Maryland",Michael Videira ( Duke )
