Year,Horse,Age,Trainer,Owner
1953,Iceberg II,5,Horatio Luro,W. Arnold Hanger
1954,Stan,4,Harry Trotsek,Hasty House Farm
1955,St. Vincent,4,Vance Longden,George R. Gardiner & Alberta Ranches
1956,Career Boy,3,Sylvester Veitch,Cornelius Vanderbilt Whitney
1957,Round Table,3,William Molter,Brookmeade Stable
1958,Round Table,4,William Molter,Kerr Stable
1959,Round Table,5,William Molter,Brookmeade Stable
1961,T.V . Lark,4,Paul Parker,C. R. McCoy
1963,Mongo,4,Frank A. Bonsal,Marion duPont Scott
1964,Turbo Jet II,4,Frank A. Bonsal,Barclay Stable
1965,Parka,7,"Warren A. Croll , Jr",Pelican Stable
1966,Assagai,3,MacKenzie Miller,Cragwood Stables
1967,Fort Marcy,3,J. Elliott Burch,Rokeby Stables
1968,Dr. Fager ( DRF ),4,John A. Nerud,William L. McKnight
1968,Fort Marcy ( TRA ),4,J. Elliott Burch,Rokeby Stables
1969,Hawaii,5,MacKenzie Miller,Cragwood Stables
1970,Fort Marcy,6,J. Elliott Burch,Rokeby Stables
