Actor,Character,Duration,Date of Death
Gerald Anthony,Marco Dane,"1977-86 , 1989-90","May 28 , 2004"
Humbert Allen Astredo,Bruno Weston,1979,"February 19 , 2016"
Vincent Baggetta,David Renaldi,2005,"May 2 , 2017"
Orson Bean,Harrison Logan,1982,"February 7 , 2020"
Doris Belack,Anna Wolek,1968-77,"October 4 , 2011"
Jonathan Brandis,Kevin Buchanan,1982-83,"November 12 , 2003"
David Canary,Adam Chandler Sr,"2000 , 2005","November 16 , 2015"
Philip Carey,Asa Buchanan,"1980-2007 , 2008","February 6 , 2009"
Keith Charles,Ted Clayton,1980-81,"July 1 , 2008"
Míriam Colón,Maria Abuelita Delgado,1996-97,"March 3 , 2017"
James Douglas,Dr. Marcus Polk,1985-87,"March 5 , 2016"
Ann Crumb,Unknown role,? ? ? ?,"October 31 , 2019"
Augusta Dabney,Helena Ashley,1979,"February 4 , 2008"
Kevin Conway,Earl Brock,1973,"February 5 , 2020"
Patricia Elliott,Renée Divine Buchanan,1987-2011,"December 20 , 2015"
"Al Freeman , Jr",Ed Hall,"1972-88 , 2000","August 9 , 2012"
Uta Hagen,,,14 January 2004
Margaret Gwenver,Blanche Ralston,1981-83,"October 18 , 2010"
Viola Harris,Selma Hanen,1993,"August 23 , 2017"
Roger Hill,Alex Lowndes,1983-84,"February 20 , 2014"
