Year,Title,Role,Notes
1999-2004,One Life to Live,Shannon McBain,Contract role ; 68 episodes
2004,What I Like About You,Kate,4 episodes ( season 2 )
2004,Joey,London / Katie Harper,3 episodes
2005,Charmed,New Paige Matthews,Episode : Something Wicca This Way Goes
2005,JAG,Cammie Cresswell,"Episodes : Straits of Malacca , Death at the Mosque"
2005-2010,One Tree Hill,Rachel Gatina,"Recurring role ( seasons 3 , 5 , 7 ) ; main role ( season 4 ) ; 52 episodes"
2007,CSI : Crime Scene Investigation,Shasta McCloud,Episode : A La Cart
2008,Free Radio,Danneel Harris,Episode : Lance Gets a Bodyguard
2008,How I Met Your Mother,Nora Zinman,Episode : Shelter Island
2009,NCIS,Jessica Shore,Episode : Love & War
2009,Trust Me,Jessica,Episode : All Hell the Victors
2009,CSI : Miami,Abby Dawson,Episode : Sink or Swim
2011,Friends with Benefits,Sara Maxwell,Main role ; 13 episodes
2012,Retired at 35,Jenn Harris,3 episodes ( season 2 )
2012,Naughty or Nice,Jill Rhodes,Television film
2013,How to Live with Your Parents,Olivia,2 episodes
2014,Baby Boot Camp,Julia,Television film
2018-present,Supernatural,Sister Jo / Anael,Recurring role ( season 13 -present ) ; 4 episodes
2018,The Christmas Contract,Naomi,Television film
