Tournament,Officially known as,City ( s ),Country,Surface,Prize ( US $ ),Current singles champion
Brisbane,Brisbane International,Brisbane,Australia,Hard,"1,000,000",Karolína Plíšková ( 2020 )
Adelaide,Adelaide International,Adelaide,Australia,Hard,"848,000",Ashleigh Barty ( 2020 )
St. Petersburg,St. Petersburg Ladies ' Trophy,St. Petersburg,Russia,Hard ( i ),"823,000",Kiki Bertens ( 2019 )
Dubai,Dubai Tennis Championships,Dubai,United Arab Emirates,Hard,"2,828,000",Belinda Bencic ( 2019 )
Doha,Qatar Total Open,Doha,Qatar,Hard,"916,131",Elise Mertens ( 2019 )
Indian Wells,BNP Paribas Open,Indian Wells,United States,Hard,"9,035,428",Bianca Andreescu ( 2019 )
Miami,Miami Open,Miami Gardens,United States,Hard,"9,035,428",Ashleigh Barty ( 2019 )
Charleston,Volvo Car Open,Charleston,United States,Clay,"823,000",Madison Keys ( 2019 )
Stuttgart,Porsche Tennis Grand Prix,Stuttgart,Germany,Clay ( i ),"886,077",Petra Kvitová ( 2019 )
Madrid,Mutua Madrid Open,Madrid,Spain,Clay,"7,021,128",Kiki Bertens ( 2019 )
Rome,Internazionali BNL d'Italia,Rome,Italy,Clay,"3,452,538",Karolína Plíšková ( 2019 )
Berlin,Grass Court Championships Berlin,Berlin,Germany,Grass,TBD,TBD ( 2020 )
Eastbourne,Nature Valley International,Eastbourne,United Kingdom,Grass,"998,712",Karolína Plíšková ( 2019 )
San Jose,Silicon Valley Classic,San Jose,United States,Hard,"799,000",Zheng Saisai ( 2019 )
Canada,Rogers Cup,Toronto / Montreal,Canada,Hard,"2,820,000",Bianca Andreescu ( 2019 )
Cincinnati,Western & Southern Open,Mason,United States,Hard,"2,874,299",Madison Keys ( 2019 )
Zhengzhou,Zhengzhou Open,Zhengzhou,China,Hard,"799,000",Karolína Plíšková ( 2019 )
Tokyo,Toray Pan Pacific Open,Tokyo,Japan,Hard,"799,000",Naomi Osaka ( 2019 )
Wuhan,Dongfeng Motor Wuhan Open,Wuhan,China,Hard,"2,746,000",Aryna Sabalenka ( 2019 )
Beijing,China Open,Beijing,China,Hard,"8,285,274",Naomi Osaka ( 2019 )
