Name of aircraft,Year in service,Country of origin
Arado Ar 232,1943,Germany
Armstrong Whitworth Albemarle,1940,UK
Avro Lancastrian,1945,UK
Avro York,1944,UK
Boeing 247/UC-73,1933,US
Boeing 307/UC-75,1940,US
Boeing C-108 Flying Fortress,1943,US
Bristol Bombay bomber/transport,1939,UK
Bristol Buckingham,1943,UK
Budd RB Conestoga,1944,US
Caproni Ca.111,1932,Italy
Caproni Ca.133,1935,Italy
Caproni Ca.148,1938,Italy
Consolidated C-87/C-109 Liberator Express,1942,US
Curtiss-Wright C-46/R5C Commando,1941,US
de Havilland Albatross,1938,UK
Douglas C-47/R4D Skytrain/Dakota,1941,US
Douglas C-54/R5D Skymaster,1942,US
Douglas DC-2/C-32,1934,US
Douglas DC-3,1935,US
