Year,Time,Athlete,Location
1970,1:44.8,Ken Swenson ( USA ),Stuttgart
1971,1:44.7,Dicky Broberg ( RSA ),Stellenbosch
1972,1:44.3,Dave Wottle ( USA ),Eugene
1973,1:43.7,Marcello Fiasconaro ( ITA ),Milan
1974,1:43.5,Rick Wohlhuter ( USA ),Eugene
1975,1:43.79,Mike Boit ( KEN ),Zürich
1976,1:43.50,Alberto Juantorena ( CUB ),Montreal
1977,1:43.44,Alberto Juantorena ( CUB ),Sofia
1978,1:43.84,Olaf Beyer ( GDR ),Prague
1979,1:42.33,Sebastian Coe ( GBR ),Oslo
1980,1:44.53,Don Paige ( USA ),Eugene
1981,1:41.73,Sebastian Coe ( GBR ),Florence
1982,1:44.45,Steve Cram ( GBR ),London
1983,1:43.61,Steve Cram ( GBR ),Oslo
1984,1:41.77,Joaquim Cruz ( BRA ),Cologne
1985,1:42.49,Joaquim Cruz ( BRA ),Koblenz
1986,1:43.19,Steve Cram ( GBR ),Rieti
1987,1:43.06,Billy Konchellah ( KEN ),Rome
1988,1:42.65,Johnny Gray ( USA ),Zürich
1989,1:43.16,Paul Ereng ( KEN ),Zürich
