Team,Stadium,Capacity
ATM,"Majlis Perbandaran Selayang Stadium , Selayang , Selangor","25,000"
Felda United,"KLFA Stadium , Kuala Lumpur","18,000"
Harimau Muda,"Hang Tuah Stadium , Malacca","15,000"
Malacca,"Hang Tuah Stadium , Malacca","15,000"
MP Muar,"Tan Sri Dato Hj Hassan Yunos Stadium , Johor Bahru , Johor","30,000"
PDRM,"Tuanku Abdul Rahman Stadium , Paroi , Seremban , Negeri Sembilan","30,000"
PKNS,"MBPJ Stadium , Kelana Jaya , Petaling Jaya , Selangor","25,000"
Pos Malaysia,"Majlis Perbandaran Selayang Stadium , Selayang , Selangor","25,000"
Sabah,"Likas Stadium , Kota Kinabalu , Sabah","30,000"
Sarawak,"Sarawak Stadium , Kuching , Sarawak","40,000"
Shahzan Muda,"Darulmakmur Stadium , Kuantan , Pahang","35,000"
USM,"USM Stadium , Penang",800
