Name,Province and location,Area in Ha,Coördinates,description
Bird Island Group ( 3 ),Eastern Cape near Port Elizabeth,,,now part of the Addo Elephant National Park
1 . Bird Island,Eastern Cape near Port Elizabeth,19 hectares ( 47 acres ),33°50′S 26°17′E / 33.833°S 26.283°E / -33.833 ; 26.283,now part of the Addo Elephant National Park
2 . Stag Island,Eastern Cape near Port Elizabeth,0.1 hectares ( 0.25 acres ),33°49′S 26°16′E / 33.817°S 26.267°E / -33.817 ; 26.267,now part of the Addo Elephant National Park
3 . Seal Island,Eastern Cape near Port Elizabeth,0.6 hectares ( 1.5 acres ),33°50′S 26°16′E / 33.833°S 26.267°E / -33.833 ; 26.267,now part of the Addo Elephant National Park
"Bird Island , Lamberts Bay",Western Cape at Lamberts Bay,8 hectares ( 20 acres ),32°5′21″S 18°18′4″E / 32.08917°S 18.30111°E / -32.08917 ; 18.30111,Breakwater walkway to main land
Dassen Island,Western Cape South of Saldanha Bay west of Yzerfontein,273 hectares ( 670 acres ),33°25′S 18°5′E / 33.417°S 18.083°E / -33.417 ; 18.083,
Duiker Island,Western Cape near Hout Bay,0.4 hectares ( 0.99 acres ),34°3′S 18°19′E / 34.050°S 18.317°E / -34.050 ; 18.317,
Dyer Island ( Ilha da Fera = Island of wild creatures ),Western Cape near Gans Bay,30 hectares ( 74 acres ),34°40′S 19°25′E / 34.667°S 19.417°E / -34.667 ; 19.417,
Hartbeespoort Dam Islands,North West,1 hectare ( 2.5 acres ),25°45′S 27°53′E / 25.750°S 27.883°E / -25.750 ; 27.883,
Kamfers Dam Artificial Island,Northern Cape North of Kimberley,0.3 hectares ( 0.74 acres ),28°40′S 24°45′E / 28.667°S 24.750°E / -28.667 ; 24.750,located in the Kamfers Dam
Kosi Bay Islands,KwaZulu-Natal in Kosi Bay,18 hectares ( 44 acres ),26°54′S 32°51′E / 26.900°S 32.850°E / -26.900 ; 32.850,
Leisure Island,"Western Cape , Knysna",49 hectares ( 120 acres ),34°3′S 23°3′E / 34.050°S 23.050°E / -34.050 ; 23.050,
Thesens Island,"Western Cape , Knysna",70 hectares ( 170 acres ),34°2′S 23°3′E / 34.033°S 23.050°E / -34.033 ; 23.050,
Marion Island,Western Cape More than 1750 km southeast of Port Elizabeth,"29,000 hectares ( 72,000 acres )",46°52′S 37°43′E / 46.867°S 37.717°E / -46.867 ; 37.717,
Msikaba Island,Eastern Cape north of Port Grosvenor,,31°19′S 29°58′E / 31.317°S 29.967°E / -31.317 ; 29.967,
Prince Edward Island,Western Cape More than 1750 km southeast of Port Elizabeth,"4,500 hectares ( 11,000 acres )",46°37′S 37°55′E / 46.617°S 37.917°E / -46.617 ; 37.917,
Robben Island,Western Cape near Cape Town in Table Bay,"507 hectares ( 1,250 acres )",33°48′S 18°22′E / 33.800°S 18.367°E / -33.800 ; 18.367,The island where Nelson Mandela and others were imprisoned
Saint Croix Island Group ( 3 ),Eastern Cape near Port Elizabeth,,,now part of the Addo Elephant National Park
1 . Saint Croix Island,Eastern Cape near Port Elizabeth,12 hectares ( 30 acres ),33°47′S 25°46′E / 33.783°S 25.767°E / -33.783 ; 25.767,now part of the Addo Elephant National Park
2 . Brenton Island,Eastern Cape near Port Elizabeth,5 hectares ( 12 acres ),33°49′S 25°45′E / 33.817°S 25.750°E / -33.817 ; 25.750,now part of the Addo Elephant National Park
