Number,Name,Rank,Unit,Date of award,Notes
1,Günther Prien,Kapitänleutnant,commander of U-47,18 October 1939,Awarded 5th Oak Leaves on 20 October 1940
2,Herbert Schultze,Kapitänleutnant,commander of U-48,1 March 1940,Awarded 15th Oak Leaves on 12 June 1941
3,Karl Dönitz,Konteradmiral,commander in chief of U-boat operations Befehlshaber der U-Boote,21 April 1940,Awarded 223rd Oak Leaves on 6 April 1943
4,Werner Hartmann,Korvettenkapitän,commander of U-37,9 May 1940,Awarded 645th Oak Leaves on 5 November 1944
5,Otto Schuhart,Kapitänleutnant,commander of U-29,16 May 1940,
6,Wilhelm Rollmann,Kapitänleutnant,commander of U-34,31 July 1940,killed in action 5 November 1943
7,Otto Kretschmer,Kapitänleutnant,commander of U-99,4 August 1940,Awarded 6th Oak Leaves on 4 November 1940 and 5 . Swords on 26 December 1941
8,Heinrich Liebe,Kapitänleutnant,commander of U-38,14 August 1940,Awarded 13th Oak Leaves on 10 June 1941
9,Fritz-Julius Lemp,Kapitänleutnant,commander of U-30,14 August 1940,killed in action 9 May 1941
10,Hans-Rudolf Rösing,Korvettenkapitän,chief of the 7 . Unterseebootsflottille and commander of U-48,29 August 1940,
11,Fritz Frauenheim,Kapitänleutnant,commander of U-101,29 August 1940,
12,Engelbert Endrass,Oberleutnant zur See,commander of U-46,5 September 1940,Awarded 14th Oak Leaves on 10 June 1941
13,Günter Kuhnke,Kapitänleutnant,commander of U-28,19 September 1940,
14,Joachim Schepke,Kapitänleutnant,commander of U-100,24 September 1940,Awarded 7th Oak Leaves on 1 December 1940
15,Hans Jenisch,Oberleutnant zur See,commander of U-32,7 October 1940,
16,Victor Oehrn,Kapitänleutnant,commander of U-37,21 October 1940,
17,Gerd Suhren,Oberleutnant ( Ing . ),chief engineer on U-37,21 October 1940,
18,Heinrich Bleichrodt,Kapitänleutnant,commander of U-48,24 October 1940,Awarded 125th Oak Leaves on 23 September 1942
19,Wolfgang Lüth,Oberleutnant zur See,commander of U-138,24 October 1940,"Awarded 142nd Oak Leaves 13 November 1942 , 29th Swords on 15 April 1943 and 7th Diamonds on 9 August 1943"
20,Reinhard Suhren,Oberleutnant zur See,1st officer on U-48,3 November 1940,Awarded 56th Oak Leaves on 31 December 1941 and 18th Swords on 1 September 1942
