Rank,Name,Nation,TFP,SP,FS
1,Victoria Maxiuta / Vladislav Zhovnirski,Russia,2.0,2,1
2,Evgenia Filonenko / Igor Marchenko,Ukraine,2.5,1,2
3,Danielle Hartsell / Steve Hartsell,United States,5.5,5,3
4,Magdalena Sroczyńska / Sławomir Borowiecki,Poland,6.0,4,4
5,Irina Maslennikova / Konstantin Krasnenkov,Russia,6.5,3,5
6,Natalie Vlandis / Jered Guzman,United States,9.5,7,6
7,Viktoria Shliakhova / Alexander Maskov,Russia,10.0,6,7
8,Lilia Mashkovskaya / Viacheslav Chiliy,Ukraine,12.0,8,8
9,Sabrina Lefrançois / Nicolas Osserland,France,13.5,9,9
10,Nicole Hentschel / Matthias Bleyer,Germany,15.5,11,10
11,Marni Wade / Lenny Faustino,Canada,17.0,10,12
12,Erin Elbe / Jeffrey Weiss,United States,17.5,13,11
13,Anna Adashkevich / Vitali Dubina,Ukraine,19.0,12,13
14,Ulrike Rumi / David Jäschke,Germany,21.0,14,14
15,Isabelle Gauthier / Danny Provost,Canada,22.5,15,15
16,Ekaterina Danko / Gennadi Emelinenko,Belarus,24.0,16,16
17,Ulrike Gerstl / Björn Lobenwein,Germany,25.5,17,17
18,Emily Minns / Terence Lyness,Australia,26.0,18,18
19,Olga Boguslavska / Jurij Salmanov,Latvia,28.5,19,19
