Rank,Player,Team ( s ) by season,TDs
1,Drew Brees,San Diego Chargers ( 2001 - 2005 ) New Orleans Saints ( 2006 -present ),547
2,Tom Brady,New England Patriots ( 2000 -present ),541
3,Peyton Manning,Indianapolis Colts ( 1998 - 2011 ) Denver Broncos ( 2012 - 2015 ),539
4,Brett Favre,Atlanta Falcons ( 1991 ) Green Bay Packers ( 1992 - 2007 ) New York Jets ( 2008 ) Minnesota Vikings ( 2009 - 2010 ),508
5,Dan Marino,Miami Dolphins ( 1983 - 1999 ),420
6,Philip Rivers,San Diego/Los Angeles Chargers ( 2004 -present ),397
7,Eli Manning,New York Giants ( 2004 - 2019 ),366
8,Aaron Rodgers,Green Bay Packers ( 2005 -present ),364
9,Ben Roethlisberger,Pittsburgh Steelers ( 2004 -present ),363
10,Fran Tarkenton,"Minnesota Vikings ( 1961 - 1966 , 1972 - 1978 ) New York Giants ( 1967 - 1971 )",342
11,Matt Ryan,Atlanta Falcons ( 2008 -present ),321
12,John Elway,Denver Broncos ( 1983 - 1998 ),300
13,Carson Palmer,Cincinnati Bengals ( 2003 - 2010 ) Oakland Raiders ( 2011 - 2012 ) Arizona Cardinals ( 2013 - 2017 ),294
14,Warren Moon,Houston Oilers ( 1984 - 1993 ) Minnesota Vikings ( 1994 - 1996 ) Seattle Seahawks ( 1997 - 1998 ) Kansas City Chiefs ( 1999 - 2000 ),291
15,Johnny Unitas,Baltimore Colts ( 1956 - 1972 ) San Diego Chargers ( 1973 ),290
16,Vinny Testaverde,"Tampa Bay Buccaneers ( 1987 - 1992 ) Cleveland Browns ( 1993 - 1995 ) Baltimore Ravens ( 1996 - 1997 ) New York Jets ( 1998 - 2003 , 2005 ) Dallas Cowboys ( 2004 ) New England Patriots ( 2006 ) Carolina Panthers ( 2007 )",275
17,Joe Montana,San Francisco 49ers ( 1979 - 1992 ) Kansas City Chiefs ( 1993 - 1994 ),273
18,Dave Krieg,Seattle Seahawks ( 1980 - 1991 ) Kansas City Chiefs ( 1992 - 1993 ) Detroit Lions ( 1994 ) Arizona Cardinals ( 1995 ) Chicago Bears ( 1996 ) Tennessee Oilers ( 1997 - 1998 ),261
19,Matthew Stafford,Detroit Lions ( 2009 -present ),256
20,Sonny Jurgensen,Philadelphia Eagles ( 1957 - 1963 ) Washington Redskins ( 1964 - 1974 ),255
