School,Number of Awards,Years
Warren Central,3,"2003 , 2005 , 2006"
Ben Davis,2,"2001 , 2017"
Bloomington South,2,"1993 , 1998"
Columbus East,2,"2011 , 2014"
Indianapolis Cathedral,2,"2000 , 2013"
Martinsville,2,"1995 , 1996"
Avon,1,2015
Bishop Chatard,1,1997
Bishop Luers,1,2012
Brownsburg,1,2016
Carmel,1,2008
East Central,1,1994
Evansville Reitz,1,2007
Franklin County,1,1992
Indianapolis Arlington,1,1999
Lawrence Central,1,2010
McCutcheon,1,2002
New Palestine,1,2019
Pioneer,1,2018
Roncalli,1,2004
