Rank,Player,Club ( s ),Years,Points
1,Richard Dourthe,"Dax , Stade Français , Béziers , Bordeaux Bègles , Castres , Bayonne",1996-2008,"3,040"
2,Romain Teulet,Castres,2001-2014,"2,612"
3,Brock James,"Clermont , La Rochelle , Bordeaux Bègles",2004-,"2,447"
4,Dimitri Yachvili,Biarritz,2002-2014,"2,304"
5,Lionel Beauxis,"Pau , Stade Français , Toulouse , Bordeaux Bègles , Lyon",2003-,"1,931"
6,David Skrela,"Colomiers , Stade Français , Toulouse , Clermont",1997-2013,"1,967"
7,Jonathan Wisniewski,"Castres , Racing 92 , Grenoble , Toulon , Lyon",2006-,"1,944"
8,Benjamin Boyet,"Bourgoin-Jallieu , Bayonne",1997-2013,"1,789"
9,Gaëtan Germain,"Bourgoin-Jallieu , Racing 92 , Brive , Grenoble",2010-,"1,756"
10,Alexandre Péclier,"Bourgoin-Jallieu , Clermont",1995-2007,"1,462"
