Opening date,Closing date,Title,Role,Playwright,Theatre
"Oct 29 , 1949","Dec 24 , 1949",Montserrat,Replacement for Julie Harris as Felisa,Lillian Hellman adaptation original Emmanuel Roblès,Fulton
"Jan 7 , 1951","Jan 20 , 1951",The House of Bernarda Alba,Adela,Federico García Lorca Translation James Graham Lujan and Richard L. O'Connell,ANTA
"Apr 15 , 1952","May 10 , 1952",The Chase,Anna Reeves,Horton Foote,Playhouse
"Feb 19 , 1953","Apr 10 , 1954",Picnic,Millie Owens,William Inge,Music Box
"Oct 27 , 1954","Nov 20 , 1954",The Traveling Lady,Georgette Thomas,Horton Foote,Playhouse
"Mar 2 , 1955","Apr 21 , 1956",Bus Stop,Cherie,William Inge,Music Box Winter Garden
"Jan 10 , 1957","Feb 9 , 1957",A Clearing in the Woods,Virginia,Arthur Laurents,Belasco
"Oct 2 , 1958","Jun 13 , 1959",A Touch of the Poet,Sara Melody,Eugene O'Neill,Helen Hayes
"Oct 12 , 1959","Nov 28 , 1959",Chéri,Léa de Lonval,Anita Loos Colette,Morosco
"Apr 4 , 1961","Nov 25 , 1961",A Far Country,Elizabeth von Ritter,Henry Denker,Music Box
"Jan 31 , 1963","Mar 02 , 1963",Natural Affection,Sue Barker,William Inge,Booth
"Jun 22 , 1964","Oct 03 , 1964",The Three Sisters,Masha,Anton Chekhov Randall Jarrell English version,Morosco
