Rank,Name,Nation,Total Points,SP,FS
1,Denis Ten,Kazakhstan,194.24,1,2
2,Artem Borodulin,Russia,187.65,2,1
3,Adrian Schultheiss,Sweden,175.91,3,5
4,Yoji Tsuboi,Japan,174.89,5,3
5,Gregor Urbas,Slovenia,166.32,6,4
6,Denis Leushin,Russia,162.62,4,6
7,Maxim Shipov,Israel,153.43,8,7
8,Anton Kovalevsky,Ukraine,151.51,7,11
9,Franz Streubel,Germany,147.48,10,9
10,Abzal Rakimgaliyev,Kazakhstan,144.74,9,12
11,Boris Martinec,Croatia,144.02,13,8
12,Tigran Vardanjan,Hungary,143.96,12,10
13,Damjan Ostojič,Bosnia and Herzegovina,133.90,11,13
14,Georgi Kenchadze,Bulgaria,111.47,14,14
15,Ali Demirboga,Turkey,103.41,15,15
16,Eray Ozbal,Turkey,97.04,16,16
17,Ivor Mikolcevic,Croatia,77.50,17,17
