University,Turkish Name,Location,Type,Official Website
Near East University,Yakın Doğu Üniversitesi,North Nicosia,Private,http : //www.neu.edu.tr
European Leadership University,Avrupa Liderlik Üniversitesi,Famagusta,Private,https : //elu.edu.tr/
Eastern Mediterranean University,Doğu Akdeniz Üniversitesi,Famagusta,Public,http : //www.emu.edu.tr
Cyprus International University,Uluslararası Kıbrıs Üniversitesi,"Haspolat , North Nicosia",Private,http : //www.ciu.edu.tr
European University of Lefke,Lefke Avrupa Üniversitesi,Morphou,Private,http : //www.eul.edu.tr
Girne American University,Girne Amerikan Üniversitesi,"Karaoğlanoğlu , Kyrenia",Private,http : //www.gau.edu.tr
University of Mediterranean Karpasia,Akdeniz Karpaz Üniversitesi,North Nicosia,Private,https : //web.archive.org/web/20130429041021/http : //eng.akun.edu.tr/
University of Kyrenia,Girne Üniversitesi,Kyrenia,Private,http : //kyrenia.edu.tr
Cyprus Science University,Kıbrıs İlim Üniversitesi,Kyrenia,Private,http : //www.csu.edu.tr
Middle East Technical University-Northern Cyprus Campus,Orta Doğu Teknik Üniversitesi-Kuzey Kıbrıs Kampusu,Morphou,State,http : //ncc.metu.edu.tr
Istanbul Technical University -TRNC,İstanbul Teknik Üniversitesi-KKTC,Famagusta,State,http : //www.kktc.itu.edu.tr/
