Player,Date of Birth,Batting Style,Bowling Style,First class team
Duleep Mendis ( c ),25 August 1952,Right hand,-,Sinhalese SC
Don Anurasiri,25 February 1966,Right-hand,Slow left-arm orthodox,Panadura SC
Ashantha de Mel,9 May 1959,Right-hand bat,Right-arm medium-fast,-
Aravinda de Silva,17 October 1965,Right hand,Right arm offbreak,Nondescripts
Roy Dias,18 October 1952,Right hand,Right-arm offbreak,Colombo CC
Asanka Gurusinha,16 September 1966,Left-hand,Right-arm medium,Nondescripts
Sridharan Jeganathan,11 July 1951,Right hand,Slow left-arm orthodox,Nondescripts
Vinothen John,27 May 1960,Right-hand,Right-arm medium-fast,Moratuwa CC
Brendon Kuruppu ( wk ),5 January 1962,Right-handed,Wicket-keeper,Burgher RC
Ranjan Madugalle,22 April 1959,Right hand,Right-arm offbreak,Nondescripts
Roshan Mahanama,31 May 1966,Right-hand,-,Colombo CC
Arjuna Ranatunga,1 December 1963,Left-hand,Right-arm medium,Sinhalese CC
Rumesh Ratnayake,2 January 1964,Right-hand bat,Right-arm fast-medium,Nondescripts
Ravi Ratnayeke,2 May 1960,Left-handed,Right-arm fast medium,Colombo CC
