Team,Stadium,Capacity,City/Area
Bradford Bulls ( 2012 season ),Odsal Stadium,"27,000","Bradford , West Yorkshire"
Castleford Tigers ( 2012 season ),PROBIZ Coliseum,"11,750","Castleford , West Yorkshire"
Catalans Dragons ( 2012 season ),Stade Gilbert Brutus,"14,000","Perpignan , Pyrénées-Orientales , France"
Huddersfield Giants ( 2012 season ),John Smith 's Stadium,"24,544","Huddersfield , West Yorkshire"
Hull F.C . ( 2012 season ),Kingston Communications Stadium,"25,404","Kingston upon Hull , East Riding of Yorkshire"
Hull Kingston Rovers ( 2012 season ),MS3 Craven Park,"9,471","Kingston upon Hull , East Riding of Yorkshire"
Leeds Rhinos ( 2012 season ),Headingley Carnegie Stadium,"22,250","Leeds , West Yorkshire"
London Broncos ( 2012 season ),Twickenham Stoop,"12,700","Twickenham , London"
Salford City Reds ( 2012 season ),Salford City Stadium,"12,000","Salford , Greater Manchester"
St Helens R.F.C . ( 2012 season ),Langtree Park,"18,000","St. Helens , Merseyside"
Wakefield Trinity Wildcats ( 2012 season ),Rapid Solicitors Stadium,"12,600","Wakefield , West Yorkshire"
Warrington Wolves ( 2012 season ),Halliwell Jones Stadium,"15,500","Warrington , Cheshire"
Widnes Vikings ( 2012 season ),Stobart Stadium,"11,500","Widnes , Cheshire , England"
Wigan Warriors ( 2012 season ),DW Stadium,"25,138","Wigan , Greater Manchester"
