Site,Municipality,Type,Ref
* Saitobaru Kofun Cluster 西都原古墳群 Saitobaru kofun-gun,Saito,1,[ 1 ]
Yasui Sokken Former Residence 安井息軒旧宅 Yasui Sokuken kyū-taku,Miyazaki,8,[ 2 ]
Imamachi Ichirizuka 今町一里塚 Ima-machi ichirizuka,Miyakonojō,6,[ 3 ]
Sadowara Castle Site 佐土原城 跡 Sadowara-jō ato,Miyazaki,2,[ 4 ]
Mochida Kofun Cluster 持田古墳群 Mochida kofun-gun,Takanabe,1,[ 5 ]
Sōrinbaru Memorial Tō 宗麟原供養塔 Sōrinbaru kuyōtō,Kawaminami,7,[ 6 ]
Matsumotozuka Kofun 松本塚古墳 Matsumotozuka kofun,Saito,1,[ 7 ]
Jōshinzuka Kofun 常心塚古墳 Jōshinzuka kofun,Saito,1,[ 8 ]
Nyūtabaru Kofun Cluster 新田原古墳群 Nyūtabaru kofun-gun,"Shintomi , Saito",1,[ 9 ]
Ikime Kofun Cluster 生目古墳群 Ikime kofun-gun,Miyazaki,1,[ 10 ]
Chibatake Kofun 千畑古墳 Chibatake kofun,Saito,1,[ 11 ]
Kawaminami Kofun Cluster 川南古墳群 Kawaminami kofun-gun,Kawaminami,1,[ 12 ]
Ōshima Hatakeda Site 大島畠田遺跡 Ōshima Hatakeda iseki,Miyakonojō,1,[ 13 ]
Chausubaru Kofun Cluster 茶臼原古墳群 Chausubaru kofun-gun,Saito,1,[ 14 ]
Nakanooku Stele 中ノ尾供養碑 Nakanooku yōhi,Nichinan,7,[ 15 ]
Tonogoori Castle Site 都於郡城 跡 Tonogoori-jō ato,Saito,2,[ 16 ]
Minamikata Kofun Cluster 南方古墳群 Minamikata kofun-gun,Saito,1,[ 17 ]
Hyūga Kokufu Site 日向国府跡 Hyūga Kokufu ato,Saito,2,[ 18 ]
Hyūga Kokubun-ji Site 日向国分寺 跡 Hyūga Kokubunji ato,Saito,3,[ 19 ]
Mukasa Castle Site 穆佐城 跡 Mukasa-jō ato,Miyazaki,2,[ 20 ]
