Medal,Name,Sport,Event
Gold,Vilma Rimšaitė,Cycling,Women 's BMX
Gold,Giedrius Titenis,Swimming,Men 's 200 m breaststroke
Gold,Giedrius Titenis,Swimming,Men 's 100 m breaststroke
Gold,Vilija Sereikaitė,Cycling,Women 's individual pursuit
Gold,Eglė Zablockytė Aušrinė Trebaitė Aleksandra Sošenko,Cycling,Women 's team time trial
Silver,Aurimas Didžbalis,Weightlifting,Men 's 94 kg
Silver,Rytis Sakalauskas,Athletics,Men 's 100 m
Silver,Zinaida Sendriūtė,Athletics,Women 's Discus throw
Silver,Viktorija Žemaitytė,Athletics,Women 's Heptathlon
Silver,Airinė Palšytė,Athletics,Women 's High jump
Bronze,Tautvydas Biknius,Cycling,Men 's BMX
Bronze,Lina Grinčikaitė,Athletics,Women 's 100 m
Bronze,National Men universiade Team,Basketball,Men 's tournament
