Rank,Country,Team,Time
1,Kenya,Florence Jebet Kiplagat Peninah Jerop Arusei Joyce Chepkirui,3:26:59
2,Ethiopia,Dire Tune Feyse Tadese Meseret Mengistu,3:27:33
3,Japan,Yoshimi Ozaki Ryoko Kizaki Azusa Nojiri,3:33:40
4,Australia,Nicole Chapple Jessica Trengove Benita Willis,3:40:14
5,Brazil,Adriana Aparecida da Silva Sueli Silva Fabiane Cristine da Silva,3:44:05
6,Peru,Gladys Tejeda Jimena Misayauri Julia Rivera,3:46:00
7,United States,Stephanie Rothstein Samia Akbar Loretta Kilmer,3:46:24
8,China,Zhu Xiaolin Hao Xiaofan Ding Changqin,3:47:05
9,South Africa,Louisa Leballo Zintle Xiniwe Mpho Mabuza,3:50:56
10,Mexico,Marisol Romero Karina Pérez Paula Apolonio,3:51:34
