Designer,Place of Residence,Original Season,Original Rank,Place Finished
Peach Carr,"Lake Forest , Illinois",Season 8,11th,13th
Wendy Pepper †,"Middleburg , Virginia",Season 1,3rd,12th
Stephen Suede Baum,"Barryville , New York",Season 5,5th,11th
Andrae Gonzalo,"New York , New York",Season 2,6th,10th
Kayne Gillaspie,"Nashville , Tennessee",Season 3,5th,9th
Althea Harper,"New Haven , Connecticut",Season 6,Runner-up,8th
Carlos Casanova,"New York , New York , NY",Season 8,10th,7th
Laura Kathleen Planck,"St. Louis , Missouri",Season 9,5th,6th
Ivy Higa,"New York , New York",Season 8,8th,5th
Joshua McKinley,"New York , New York",Season 9,Runner-up,4th
Uli Herzner,"Miami , Florida",Season 3,Runner-up,3rd
Emilio Sosa,"New York , New York",Season 7,Runner-up,Runner-up
Anthony Ryan Auld,"Baton Rouge , Louisiana",Season 9,7th,Winner
