Class / year,Country,Inductee,Weighted ballot%,Ballot rank within class
2005,United States,Jon Finkel,97.10%,1
2005,United States,Darwin Kastle,62.32%,2
2005,United States,Alan Comer,52.17%,3
2005,Finland,Tommi Hovi,46.38%,4
2005,Sweden,Olle Råde,34.78%,5
2006,United States,Bob Maher,60.01%,1
2006,United States,Dave Humpherys,56.78%,2
2006,France,Raphaël Lévy,42.58%,3
2006,Canada,Gary Wise,39.03%,4
2006,United States,Rob Dougherty,38.20%,5
2007,Germany,Kai Budde,90.42%,1
2007,United States,Zvi Mowshowitz,62.28%,2
2007,Japan,Tsuyoshi Fujita,49.74%,3
2007,Norway,Nicolai Herzog,41.50%,4
2007,United States,Randy Buehler,35.58%,5
2008,Germany,Dirk Baberowski,52.36%,1
2008,United States,Mike Turian,50.13%,2
2008,Netherlands,Jelger Wiegersma,48.19%,3
2008,France,Olivier Ruel,46.01%,4
2008,United States,Ben Rubin,45.62%,5
