Medal,Name,Sport,Event
Gold,Meinhard Nehmer Bernhard Germeshausen,Bobsleigh,Two-man
Gold,Meinhard Nehmer Jochen Babock Bernhard Germeshausen Bernhard Lehmann,Bobsleigh,Four-man
Gold,Dettlef Günther,Luge,Men 's individual
Gold,Hans Rinn Norbert Hahn,Luge,Men 's doubles
Gold,Margit Schumann,Luge,Women 's individual
Gold,Ulrich Wehling,Nordic combined,Men 's individual
Gold,Hans-Georg Aschenbach,Ski jumping,Men 's normal hill
Silver,Gert-Dietmar Klause,Cross-country skiing,Men 's 50 km
Silver,Romy Kermer Rolf Österreich,Figure skating,Pairs
Silver,Ute Rührold,Luge,Women 's individual
Silver,Jochen Danneberg,Ski jumping,Men 's normal hill
Silver,Andrea Ehrig-Schöne-Mitscherlich,Speed skating,Women 's 3000m
Bronze,Karl-Heinz Menz Frank Ullrich Manfred Beer Manfred Geyer,Biathlon,Men 's 4 x 7.5 km relay
Bronze,Monika Debertshäuser Sigrun Krause Barbara Petzold Veronika Hesse-Schmidt,Cross-country skiing,Women 's 4 × 5 km relay
Bronze,Christine Errath,Figure skating,Women 's singles
Bronze,Manuela Groß Uwe Kagelmann,Figure skating,Pairs
Bronze,Hans Rinn,Luge,Men 's individual
Bronze,Konrad Winkler,Nordic combined,Men 's individual
Bronze,Henry Glaß,Ski jumping,Men 's large hill
