Team,Location,Venue,Capacity,Position in 1995
Dinamo Minsk,Minsk,Dinamo Stadium ( Minsk ),"50,050",1
MPKC Mozyr,Mozyr,Yunost Stadium ( Mozyr ),"7,500",2
Dinamo-93 Minsk,Minsk,Traktor Stadium,"25,000",3
Ataka-Aura Minsk,Minsk,Traktor Stadium,"25,000",4
Molodechno,Molodechno,City Stadium,"5,600",5
Dnepr Mogilev,Mogilev,Spartak Stadium ( Mogilev ),"12,000",6
Lokomotiv-96 Vitebsk,Vitebsk,Dinamo Stadium ( Vitebsk ),"5,500",7
Neman Grodno,Grodno,Neman Stadium,"14,000",8
Torpedo Minsk,Minsk,Torpedo Stadium ( Minsk ),"5,000",9
Dinamo Brest,Brest,Dinamo Stadium ( Brest ),"5,400",10
Torpedo-Kadino Mogilev,Mogilev,Torpedo Stadium ( Mogilev ),"6,000",11
Obuvshchik Lida,Lida,Obuvshchik Stadium,"3,000",12
Shakhtyor Soligorsk,Soligorsk,Stroitel Stadium,"5,000",13
Vedrich Rechitsa,Rechytsa,Central Stadium,"5,500",14
Belshina Bobruisk,Bobruisk,Spartak Stadium ( Bobruisk ),"4,800",15
Naftan-Devon Novopolotsk,Novopolotsk,Atlant Stadium,"6,500","First league , 1"
