Team,Stadium,Home games,Average attendance,Total attendance,Capacity percentage
Dallas Cowboys,AT & T Stadium,8,"92,721","741,775",92.7%
Los Angeles Rams,Los Angeles Memorial Coliseum,8,"63,392","507,136",67.7%
New York Giants,MetLife Stadium,8,"77,179","617,434",93.6%
Washington Redskins,FedExField,8,"75,175","601,405",88.4%
Green Bay Packers,Lambeau Field,8,"78,092","624,742",106.8%
New York Jets,MetLife Stadium,8,"77,562","620,496",94%
Denver Broncos,Sports Authority Field at Mile High,8,"76,355","610,846",100.3%
Carolina Panthers,Bank of America Stadium,8,"73,617","588,942",99.8%
Kansas City Chiefs,Arrowhead Stadium,8,"74,106","592,851",97%
New Orleans Saints,Mercedes-Benz Superdome,8,"73,139","585,113",95.6%
Houston Texans,NRG Stadium,8,"71,774","574,197",101%
Baltimore Ravens,M & T Bank Stadium,8,"70,588","564,709",99.4%
San Francisco 49ers,Levi 's Stadium,8,"70,144","561,155",102.4%
Atlanta Falcons,Georgia Dome,8,"71,960","575,681",95.9%
Philadelphia Eagles,Lincoln Financial Field,8,"69,596","556,768",100%
Seattle Seahawks,CenturyLink Field,8,"68,976","551,809",102.9%
Buffalo Bills,New Era Field,8,"66,775","534,200",91.4%
New England Patriots,Gillette Stadium,8,"65,878","527,024",100%
Minnesota Vikings,U.S. Bank Stadium,8,"66,721","533,769",91.4%
Indianapolis Colts,Lucas Oil Stadium,8,"63,440","507,525",100.7%
