Season,Event type,Location,Format,Date,Rank
1996-97,Pro Tour,New York,Booster Draft,30 May-1 June 1997,8
1998-99,Pro Tour,Los Angeles,Rochester Draft,26-28 February 1999,6
2001-02,Grand Prix,Milwaukee,Standard,11-12 May 2002,2
2007,Worlds,New York,Special,6-9 December 2007,2
2011,Pro Tour,Paris,Standard,10-13 February 2011,6
2011,Grand Prix,Pittsburgh,Standard,27-28 August 2011,3
2012,Grand Prix,Orlando,Standard,14-15 January 2012,2
2013-14,Pro Tour,Atlanta,Block Constructed,16-18 May 2014,1
2014-15,Worlds,Nice,Special,2-7 December 2014,2
2015-16,Grand Prix,Indianapolis,Standard,31 October-1 November 2015,6
