Club,Winner,Runner-up,3rd,Winning Seasons
Elnias Šiauliai,7,3,3,"1948 , 1949 , 1953 , 1957 , 1958 , 1959-60 , 1960-61"
Inkaras Kaunas,5,6,5,"1950 , 1951 , 1954 , 1964 , 1965"
Atlantas Klaipėda,4,7,-,"1978 , 1980 , 1981 , 1984"
Karininkų Namai / Raudonoji Žvaigždė / Saliutas Vilnius,3,3,1,"1952 , 1958-59 , 1967"
Nevėžis Kėdainiai,3,2,3,"1966 , 1972 , 1973"
Pažanga Vilnius,3,2,2,"1971 , 1982 , 1983"
Statybininkas Šiauliai,2,2,1,"1969 , 1977"
Statyba Panevėžys,2,1,3,"1962-63 , 1968"
FK Atletas Kaunas,2,1,-,"1961-62 , 1970"
Atmosfera Mažeikiai,2,-,2,"1976 , 1979"
Banga Kaunas,2,-,1,"1986 , 1989"
Ekranas Panevėžys,1,2,2,1985
Tauras Šiauliai,1,1,2,1974
SRT Vilnius,1,1,2,1988
Lima Kaunas,1,1,1,1955
Spartakas Kaunas,1,1,-,1945
Tauras Tauragė,1,1,-,1987
Linų Audiniai Plungė,1,-,2,1956
Dainava Alytus,1,-,2,1975
Dinamo Kaunas,1,-,-,1946
