Year,Player,College,Position,Class
1983,Anne Donovan *,Old Dominion,C,Senior
1984,Cheryl Miller *,USC,F/C,Sophomore
1985,Cheryl Miller * ( 2 ),USC,F/C,Junior
1986,Cheryl Miller * ( 3 ),USC,F/C,Senior
1987,Clarissa Davis,Texas,F,Sophomore
1988,Sue Wicks,Rutgers,F,Senior
1989,Clarissa Davis ( 2 ),Texas,F,Senior
1990,Jennifer Azzi,Stanford,G,Senior
1991,Dawn Staley *,Virginia,PG,Junior
1992,Dawn Staley * ( 2 ),Virginia,PG,Senior
1993,Sheryl Swoopes *,Texas Tech,G/F,Senior
1994,Lisa Leslie *,USC,C,Senior
1995,Rebecca Lobo *,Connecticut,C,Senior
1996,Saudia Roundtree,Georgia,G,Senior
1997,Kate Starbird,Stanford,G,Senior
1998,Chamique Holdsclaw,Tennessee,F,Junior
1999,Chamique Holdsclaw ( 2 ),Tennessee,F,Senior
2000,Tamika Catchings,Tennessee,F,Junior
2001,Ruth Riley,Notre Dame,C,Senior
2002,Sue Bird,Connecticut,G,Senior
