Title,Year,Production Co
The American Scream,2012,Chiller Films Brainstorm Media
Dead Souls,2012,Chiller Films Synthetic Productions
Ghoul,2012,Chiller Films Modernciné
Beneath,2013,Glass Eye Pix
Chilling Visions : 5 Senses of Fear,2013,Chiller Films Synthetic Cinema International
The Monkey 's Paw,2013,TMP Films
Animal,2014,Flower Films Synthetic Cinema International
Deep in the Darkness,2014,Chiller Films Synthetic Cinema International
The Boy,2015,SpectreVision
SiREN,2016,Studio71
Camera Obscura,2017,Chiller Films Hood River Entertainment Paper Street Pictures
Dementia 13,2017,Pipeline Entertainment Haloran LLC
