#,Name,Pos,College,GP,Seasons
86,Bob Raba,TE,Maryland,8,1981
61,Casey Rabach,C,Wisconsin,95,2005-10
24,Bacarri Rambo,S,Georgia,13,2013-14
68,Knox Ramsey,OL,William & Mary,19,1952-53
11,Patrick Ramsey,QB,Tulane,33,2002-05
82,Antwaan Randle El,WR,Indiana,63,2006-09
86,Walter Rasby,TE,Wake Forest,35,"2001-02 , 2004"
52,Cory Raymer,C,Wisconsin,80,"1995-01 , 2004-05"
24,Ron Rector,RB,Northwestern,6,1966
32,Silas Redd,RB,Southern California,15,2014-16
88,Alvin Reed,TE,Prairie View A & M,33,1973-75
84,Andre Reed,WR,Kutztown,13,2000
67,Bob Reed,G,Tennessee State,8,1965
86,Jordan Reed,TE,Florida,65,2013- present
51,John Reger,LB,Pittsburgh,40,1964-66
71,Will Renfro,OT,Memphis,34,1957-59
-,Pug Rentner,QB / RB,Northwestern,33,1934-36
17,Mack Reynolds,QB,Louisiana State,8,1960
55,Jim Ricca,DE / G,Georgetown,47,1951-54
24,Stanley Richard,S,Texas,63,1995-98
