Name,Team,Red,Yellow
Adeyum Saleh Ahmed,Zanzibar,1,1
Joackins Atudo,Kenya,0,2
Robel Girma,Ethiopia,0,2
Aggrey Morris,Zanzibar,0,2
Faris Abdallah,Sudan,0,1
Sami Abdallah,Sudan,0,1
Deng Atiti,South Sudan,0,1
Azizi Saweji Azizi,Zanzibar,0,1
Mike Baraza,Kenya,0,1
Hamdani Bariyanga,Rwanda,0,1
John Bocco,Tanzania,0,1
Chala Deriba,Ethiopia,0,1
Rodrick Gonani,Malawi,0,1
Dennis Iguma,Uganda,0,1
Henry Kalungi,Uganda,0,1
Amri Kiemba,Tanzania,0,1
Anthony Modo Kimani,Kenya,0,1
Anthony Muki Kimani,Kenya,0,1
Bernard Mang'oli,Kenya,0,1
Jimmy Mbaraga,Rwanda,0,1
